,CNXN
% Below High,0.0189
% Held by Institutions,0.4278
52-Wk Range,['40.08 - 56.64']
Annual Dividend $,
Annual Dividend %,
Ask,60.0
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.7
Bid,55.63
Bid Size,900.0
Closing Price,55.57
Day Change $,-0.2
Day Change %,-0.0036
Day High,56.49
Day Low,55.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.51
Ex-dividend Date,No dividend
Historical Volatility,0.312
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",15.82
Prev Close,55.77
Short Interest,0.048600000000000004
Today's Open,55.9
Volume,22321.0
Volume 10-day Avg,49823.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.6442307692307692
Growth 1yr High Est,0.6090909090909089
Growth 1yr Consensus Est,0.626660839160839
Growth 2yr Low Est,0.3367352676563202
Growth 2yr High Est,0.32008217770929626
Growth 2yr Consensus Est,0.32840872268280824
Growth 5yr Low Est,0.09112510891121661
Growth 5yr High Est,0.08919418331718887
Growth 5yr Consensus Est,0.09015964611420274
Growth 5yr Actual/Est,0.06773081730094196
Growth 3yr Historic,-0.018473368342085544
Price/Earnings (TTM),15.82127
Price/Sales (TTM),0.45755
Price/Book (MRQ),2.13583
Price/Cash Flow (TTM),13.9343
5yr Low,22.66
5yr High,56.64
5yr Avg Return,0.1533
EPS Growth 5yr,0.08047750000000001
Revenue Growth 5yr,0.0144331
Dividend Growth 5yr,
Short Int Current Month,304615.0
Short Int Prev Month,294188.0
Short Int Pct of Float,0.0486116
Days to Cover,7.01716
Float,11.26858
Shares Outstanding,26.28836
Institutions Holding Shares,204.0
FCF Growth 5yr,-1.4042326452221323
"Price/Earnings (TTM, GAAP)",15.82
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1656
Operating Profit Margin (TTM),0.0401
Net Profit Margin (TTM),0.0291
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.08720000000000001
EPS Growth (TTM),0.45049999999999996
Revenue Growth (MRQ),-0.0637
Revenue Growth (TTM),0.1534
Return On Equity (TTM),0.12869999999999998
Return On Assets (TTM),0.0864
Return On Investment (TTM),0.1236
Revenue Per Employee (TTM),1255987.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.19
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-28 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-13 00:00:00
