,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,75.45,104.11,66.86,,,,,
low,30.0,48.58,29.39,,,,,
change,1.2779,-0.23579999999999998,-0.2422,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,,1232.0,1189.0,1018.0,673.0,Balance Sheet
Short Term Investments,,,,,,1.0,2.0,Balance Sheet
Cash and Short Term Invs,,,,1232.0,1189.0,1019.0,674.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,214.0,233.0,262.0,277.0,Balance Sheet
Prov. for Doubtful Accts,,,,-8.0,-10.0,-11.0,-15.0,Balance Sheet
"Trade Accts Recvble, Net",,,,206.0,223.0,252.0,263.0,Balance Sheet
Notes Recvble - Short Term,,,,0.0,1.0,0.0,,Balance Sheet
Other Receivables,,,,2.0,2.0,2.0,2.0,Balance Sheet
"Total Receivables, Net",,,,208.0,226.0,253.0,264.0,Balance Sheet
Total Inventory,,,,4.0,3.0,2.0,6.0,Balance Sheet
Prepaid Expenses,,,,10.0,10.0,8.0,15.0,Balance Sheet
"Other Curr. Assets, Total",,,,0.0,0.0,1.0,1.0,Balance Sheet
Total Current Assets,,,,1454.0,1428.0,1284.0,961.0,Balance Sheet
Buildings,,,,9.0,9.0,9.0,9.0,Balance Sheet
Machinery/Equipment,,,,16.0,17.0,16.0,21.0,Balance Sheet
Other Prop./Plant/Equip.,,,,79.0,79.0,83.0,89.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,104.0,105.0,108.0,119.0,Balance Sheet
Accumulated Depreciation,,,,-9.0,-10.0,-9.0,-10.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,95.0,95.0,99.0,109.0,Balance Sheet
"Goodwill, Net",,,,538.0,627.0,627.0,777.0,Balance Sheet
Intangibles - Gross,,,,466.0,505.0,409.0,772.0,Balance Sheet
Accum. Intangible Amort.,,,,-242.0,-257.0,-153.0,-175.0,Balance Sheet
Intangibles - Net,,,,224.0,248.0,256.0,597.0,Balance Sheet
Long Term Investments,,,,31.0,32.0,32.0,32.0,Balance Sheet
Other Long Term Assets,,,,2.0,2.0,2.0,10.0,Balance Sheet
Total Assets,,,,2343.0,2432.0,2300.0,2486.0,Balance Sheet
Accounts Payable,,,,121.0,137.0,155.0,177.0,Balance Sheet
Accrued Expenses,,,,26.0,17.0,15.0,67.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,,,,Balance Sheet
Customer Advances,,,,15.0,22.0,19.0,20.0,Balance Sheet
Income Taxes Payable,,,,2.0,2.0,2.0,3.0,Balance Sheet
Other Payables,,,,13.0,15.0,17.0,7.0,Balance Sheet
Other Current Liabilities,,,,7.0,66.0,67.0,14.0,Balance Sheet
"Other Curr. Lblts, Total",,,,36.0,104.0,105.0,45.0,Balance Sheet
Total Current Liabilities,,,,184.0,259.0,275.0,289.0,Balance Sheet
Total Long Term Debt,,,,1739.0,1736.0,1738.0,1740.0,Balance Sheet
Total Debt,,,,1739.0,1736.0,1738.0,1740.0,Balance Sheet
Deferred Income Tax,,,,0.0,0.0,1.0,9.0,Balance Sheet
Minority Interest,,,,127.0,130.0,84.0,118.0,Balance Sheet
"Other Liabilities, Total",,,,20.0,19.0,18.0,27.0,Balance Sheet
Total Liabilities,,,,2070.0,2144.0,2116.0,2183.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,619.0,660.0,636.0,696.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-325.0,-333.0,-423.0,-393.0,Balance Sheet
Treasury Stock - Common,,,,-21.0,-38.0,-29.0,0.0,Balance Sheet
Other Equity,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,0.0,-1.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,0.0,-1.0,Balance Sheet
Total Equity,,,,273.0,289.0,184.0,303.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,2343.0,2432.0,2300.0,2486.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,51.0,53.0,51.0,53.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,26.0,26.0,26.0,26.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 3,,,,5.0,4.0,4.0,4.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,83.0,84.0,80.0,82.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,1.0,1.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,399.0,402.0,507.0,547.0,Income Statement
"Cost of Revenue, Total",,,,315.0,317.0,401.0,412.0,Income Statement
Selling/Gen/Admin Expense,,,,34.0,50.0,51.0,61.0,Income Statement
Labor & Related Expense,,,,14.0,17.0,9.0,12.0,Income Statement
Advertising Expense,,,,3.0,3.0,3.0,6.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,51.0,70.0,63.0,79.0,Income Statement
Depreciation,,,,7.0,8.0,8.0,10.0,Income Statement
Amortiz of Intangibles,,,,9.0,9.0,8.0,19.0,Income Statement
Depreciation/Amortization,,,,16.0,17.0,17.0,29.0,Income Statement
Restructuring Charge,,,,0.0,0.0,0.0,0.0,Income Statement
Other Unusual Expnse (In),,,,22.0,10.0,3.0,-26.0,Income Statement
Unusual Expense (Income),,,,22.0,10.0,4.0,-26.0,Income Statement
"Other Operat Expse, Total",,,,0.0,,,,Income Statement
Total Operating Expense,,,,404.0,414.0,484.0,494.0,Income Statement
Total Operating Income,,,,-5.0,-12.0,23.0,54.0,Income Statement
"Inter Expse,Net Non-Operat",,,,-8.0,-8.0,-8.0,-8.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,1.0,4.0,Income Statement
OtherNon-OperatInc (Expnse),,,,0.0,0.0,0.0,-1.0,Income Statement
"Other, Net",,,,0.0,0.0,0.0,-1.0,Income Statement
Income Before Tax,,,,-13.0,-19.0,16.0,48.0,Income Statement
Income Tax - Total,,,,1.0,-6.0,1.0,1.0,Income Statement
Income After Tax,,,,-14.0,-13.0,15.0,46.0,Income Statement
Minority Interest,,,,4.0,6.0,-5.0,-3.0,Income Statement
Net Inc Before Extra Items,,,,-9.0,-8.0,10.0,43.0,Income Statement
Total Net Income,,,,-9.0,-8.0,10.0,43.0,Income Statement
Total Adjust to Net Income,,,,0.0,,,,Income Statement
Income Available to Common Excl. Extra. Items,,,,-10.0,-8.0,10.0,43.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,-10.0,-8.0,10.0,43.0,Income Statement
Basic/Primary Weighted Average Shares,,,,57.0,84.0,80.0,82.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,-0.17,-0.09,0.13,0.52,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,-0.17,-0.09,0.13,0.52,Income Statement
Diluted Weighted Average Shares,,,,57.0,84.0,80.0,82.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,-0.17,-0.09,0.13,0.52,Income Statement
Diluted EPS Incl. Extra. Items,,,,-0.17,-0.09,0.13,0.52,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,8.0,8.0,8.0,8.0,Income Statement
"Depreciat/Amort, Suppl",,,,8.0,8.0,9.0,13.0,Income Statement
Total Special Items,,,,22.0,10.0,4.0,-26.0,Income Statement
Normalzd Income Before Tax,,,,9.0,-10.0,20.0,22.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,8.0,3.0,0.0,-1.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,9.0,-3.0,1.0,1.0,Income Statement
