,FOUR
% Above Low,0.5043
% Held by Institutions,1.0433
52-Wk Range,['29.39 - 66.86']
Annual Dividend $,
Annual Dividend %,
Ask,44.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,42.11
Bid Size,100.0
Closing Price,44.21
Day Change $,-0.89
Day Change %,-0.0197
Day High,45.14
Day Low,43.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.39
Ex-dividend Date,No dividend
Historical Volatility,0.7270000000000001
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",112.29
Prev Close,45.1
Short Interest,0.2048
Today's Open,44.67
Volume,333667.0
Volume 10-day Avg,1339189.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.2195121951219512
Growth 2yr High Est,0.7062499999999998
Growth 2yr Consensus Est,0.4628810975609755
Growth 5yr Low Est,0.2195121951219512
Growth 5yr High Est,0.7062499999999998
Growth 5yr Consensus Est,0.4628810975609755
Growth 5yr Actual/Est,0.40859862343524406
Growth 3yr Historic,-0.5147679324894515
Price/Earnings (TTM),112.2851
Price/Sales (TTM),1.96499
Price/Book (MRQ),12.05174
Price/Cash Flow (TTM),22.27032
5yr Low,29.39
5yr High,104.11
5yr Avg Return,0.2666333333333334
Short Int Current Month,10591708.0
Short Int Prev Month,10429278.0
Short Int Pct of Float,0.20482869999999997
Days to Cover,6.45617
Float,51.70328
Shares Outstanding,82.46214
Institutions Holding Shares,281.0
FCF Growth 5yr,0.4166666666666666
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",112.29
"PEG Ratio (TTM, GAAP)",0.94
Gross Profit Margin (TTM),0.2211
Operating Profit Margin (TTM),0.0322
Net Profit Margin (TTM),0.018600000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.0702
EPS Growth (TTM),0.4393
Revenue Growth (MRQ),0.0801
Revenue Growth (TTM),0.5736
Return On Equity (TTM),0.12119999999999999
Return On Assets (TTM),0.0143
Return On Investment (TTM),0.0168
Revenue Per Employee (TTM),1071189.0
Total Debt/Total Capital (MRQ),0.8052
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),3.31
Interest Coverage (MRQ),5.81
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2021-08-06 00:00:00
researchTeam since,2021-09-03 00:00:00
ford since,2022-07-15 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
