,WK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),7.91,9.39,Valuation,0.8423855165069222
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7578,0.7206,Profitability,1.051623646960866
Operating Profit Margin (TTM),-0.16899999999999998,0.2172,Profitability,-0.7780847145488029
Net Profit Margin (TTM),-0.1775,0.1553,Profitability,-1.1429491307147457
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.024300000000000002,-0.0752,Gowth rates,0.32313829787234044
EPS Growth (TTM),-1.8276,-0.2824,Gowth rates,6.471671388101983
Revenue Growth (MRQ),0.0099,0.15560000000000002,Gowth rates,0.06362467866323908
Revenue Growth (TTM),0.2366,0.1906,Gowth rates,1.2413431269674713
Return On Equity (TTM),-2.8249,0.2189,Effectiveness,-12.904979442667884
Return On Assets (TTM),-0.11970000000000001,0.10740000000000001,Effectiveness,-1.1145251396648046
Return On Investment (TTM),-0.342,0.1387,Effectiveness,-2.4657534246575348
Revenue Per Employee (TTM),244471.0,667721.0,Effectiveness,0.36612746940713264
Total Debt/Total Capital (MRQ),1.0157,0.39659999999999995,Financial strength,2.5610186585980843
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0004,Financial strength,2.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-430.26,0.28,Financial strength,-1536.6428571428569
