,PRTA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),574.53,45.03,Valuation,12.758827448367754
Price/Book (MRQ),7.24,12.61,Valuation,0.5741475019825536
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-31.931900000000002,-4.7459,Profitability,6.728312859520851
Net Profit Margin (TTM),-30.360300000000002,-4.5467,Profitability,6.677436382431214
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.10529999999999999,-0.0014000000000000002,Gowth rates,75.2142857142857
EPS Growth (TTM),-4.232,0.027200000000000002,Gowth rates,-155.58823529411765
Revenue Growth (MRQ),0.15630000000000002,1.3963999999999999,Gowth rates,0.11193067888857064
Revenue Growth (TTM),-0.9742000000000001,0.9747,Gowth rates,-0.9994870216476865
Return On Equity (TTM),-0.3496,0.1967,Effectiveness,-1.777325876970005
Return On Assets (TTM),-0.2636,0.0016,Effectiveness,-164.75
Return On Investment (TTM),-0.2826,0.0219,Effectiveness,-12.904109589041097
Revenue Per Employee (TTM),62854.0,1476201.0,Effectiveness,0.04257821258758123
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
