,PRTA
% Below High,0.09140000000000001
% Held by Institutions,0.9153
52-Wk Range,['21.06 - 65.35']
Annual Dividend $,
Annual Dividend %,
Ask,59.51
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,59.25
Bid Size,100.0
Day Change $,-1.83
Day Change %,-0.029900000000000003
Day High,62.0
Day Low,58.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.34
Ex-dividend Date,No dividend
Historical Volatility,0.9309999999999999
Last (size),100.0
Last (time),11:34a ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,61.21
Price,59.38
Short Interest,0.0489
Today's Open,60.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-4.394230769230768
Growth 1yr High Est,-2.7320261437908497
Growth 1yr Consensus Est,-3.563128456510809
Growth 2yr Low Est,-2.017228699062976
Growth 2yr High Est,-1.6622394869897645
Growth 2yr Consensus Est,-1.8397340930263704
Growth 5yr Low Est,-1.2421826350595193
Growth 5yr High Est,-1.1268447302279516
Growth 5yr Consensus Est,-1.1845136826437355
Growth 5yr Actual/Est,-0.9711520768019047
Growth 3yr Historic,-0.267690463014204
Price/Earnings (TTM),
Price/Sales (TTM),574.5304
Price/Book (MRQ),7.24355
Price/Cash Flow (TTM),
5yr Low,6.71
5yr High,79.75
5yr Avg Return,0.44018333333333337
EPS Growth 5yr,
Revenue Growth 5yr,1.856313
Dividend Growth 5yr,
Short Int Current Month,2228106.0
Short Int Prev Month,2425560.0
Short Int Pct of Float,0.048868
Days to Cover,3.69469
Float,45.5944
Shares Outstanding,48.37657
Institutions Holding Shares,253.0
FCF Growth 5yr,-0.010339223924623608
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-31.931900000000002
Net Profit Margin (TTM),-30.360300000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.10529999999999999
EPS Growth (TTM),-4.232
Revenue Growth (MRQ),0.15630000000000002
Revenue Growth (TTM),-0.9742000000000001
Return On Equity (TTM),-0.3496
Return On Assets (TTM),-0.2636
Return On Investment (TTM),-0.2826
Revenue Per Employee (TTM),62854.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-06-24 00:00:00
theStreet since,2022-11-14 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-16 00:00:00
cfra since,
marketEdge opinion since,
