,SBNY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,11.43,Valuation,
Price/Sales (TTM),,3.3,Valuation,
Price/Book (MRQ),1.15,1.46,Valuation,0.7876712328767123
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),,0.34240000000000004,Profitability,
Net Profit Margin (TTM),,0.2812,Profitability,
Annual Dividend Yield,0.016,0.028700000000000003,Dividend,0.5574912891986062
Dividend Change %,0.0,-0.0086,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.25989999999999996,0.0734,Dividend,3.540871934604904
EPS Growth (MRQ),,-0.0335,Gowth rates,
EPS Growth (TTM),,-0.09960000000000001,Gowth rates,
Revenue Growth (MRQ),,0.5429,Gowth rates,
Revenue Growth (TTM),,0.2466,Gowth rates,
Return On Equity (TTM),,0.1135,Effectiveness,
Return On Assets (TTM),,0.0099,Effectiveness,
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0016,0.0009,Financial strength,-1.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
