,SBNY
% Above Low,0.0342
% Held by Institutions,0.9358
52-Wk Range,['129.96 - 374.76']
Annual Dividend $,2.24
Annual Dividend %,0.016
Ask,134.46
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.6
Bid,134.3
Bid Size,300.0
Day Change $,-5.84
Day Change %,-0.0416
Day High,140.19
Day Low,134.4
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",
Ex-dividend,2022-10-27 00:00:00
Ex-dividend Date,10/27/22
Historical Volatility,0.562
Last (size),500.0
Last (time),1:43p ET 11/28/22
Market Cap,8.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,140.24
Price,134.4
Short Interest,0.0377
Today's Open,137.82
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.6246153846153848
Growth 1yr High Est,0.45430286857905267
Growth 1yr Consensus Est,0.5394591265972187
Growth 2yr Low Est,0.24791375291375295
Growth 2yr High Est,0.3005459297023704
Growth 2yr Consensus Est,0.27422984130806166
Growth 5yr Low Est,0.18865121763820653
Growth 5yr High Est,0.25494358691829855
Growth 5yr Consensus Est,0.2217974022782525
Growth 5yr Actual/Est,0.213083637382143
Growth 3yr Historic,0.10632987331109167
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.14998
Price/Cash Flow (TTM),
5yr Low,68.98
5yr High,374.76
5yr Avg Return,0.14696666666666666
EPS Growth 5yr,0.1536453
Revenue Growth 5yr,0.1070744
Dividend Growth 5yr,
Short Int Current Month,2329615.0
Short Int Prev Month,1607129.0
Short Int Pct of Float,0.037686899999999995
Days to Cover,1.67796
Float,62.91694
Shares Outstanding,62.92893
Institutions Holding Shares,738.0
FCF Growth 5yr,-0.8112118794800581
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,0.016
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.25989999999999996
EPS Growth (MRQ),
EPS Growth (TTM),
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-08-20 00:00:00
theStreet since,2022-07-14 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-18 00:00:00
ford since,2022-09-09 00:00:00
marketEdge opinion since,
