,MXCT
% Above Low,0.8214
% Held by Institutions,0.8304
52-Wk Range,['3.36 - 11.56']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,
Bid Size,
Closing Price,6.12
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.24
Ex-dividend Date,No dividend
Historical Volatility,0.782
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,624.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.12
Short Interest,0.0218
Today's Open,
Volume,54586.0
Volume 10-day Avg,238032.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-22 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.34615384615384603
Growth 2yr High Est,0.040000000000000036
Growth 2yr Consensus Est,0.19307692307692303
Growth 5yr Low Est,0.34615384615384603
Growth 5yr High Est,0.040000000000000036
Growth 5yr Consensus Est,0.19307692307692303
Growth 5yr Actual/Est,0.19597069597069594
Growth 3yr Historic,0.0
"Price/Earnings (TTM, GAAP)",
Price/Sales (TTM),14.87
Price/Book (MRQ),2.45
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8862000000000001
Operating Profit Margin (TTM),-0.6088
Net Profit Margin (TTM),-0.5629
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2206
EPS Growth (TTM),
Revenue Growth (MRQ),0.1077
Revenue Growth (TTM),
Return On Equity (TTM),-0.09119999999999999
Return On Assets (TTM),-0.08380000000000001
Return On Investment (TTM),-0.0884
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),14.58
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-31 00:00:00
theStreet since,2022-08-31 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
