,MXCT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,83.95,Valuation,
Price/Sales (TTM),14.87,6.06,Valuation,2.453795379537954
Price/Book (MRQ),2.45,6.22,Valuation,0.3938906752411576
"PEG Ratio (TTM, GAAP)",,3.53,Valuation,
Gross Profit Margin (TTM),0.8862000000000001,0.5095000000000001,Profitability,1.7393523061825318
Operating Profit Margin (TTM),-0.6088,0.0332,Profitability,-18.337349397590362
Net Profit Margin (TTM),-0.5629,-0.0454,Profitability,12.398678414096915
Annual Dividend Yield,,0.0022,Dividend,
Dividend Change %,,0.0891,Dividend,
"Dividend Growth Rate, 3 Years",,0.0714,Dividend,
EPS Growth (MRQ),0.2206,-0.5094,Gowth rates,-0.43305850019630937
EPS Growth (TTM),,-0.2377,Gowth rates,
Revenue Growth (MRQ),0.1077,0.1691,Gowth rates,0.6369012418687168
Revenue Growth (TTM),,0.1222,Gowth rates,
Return On Equity (TTM),-0.09119999999999999,1.1042,Effectiveness,-0.08259373301938053
Return On Assets (TTM),-0.08380000000000001,0.0644,Effectiveness,-1.301242236024845
Return On Investment (TTM),-0.0884,0.0802,Effectiveness,-1.1022443890274316
Revenue Per Employee (TTM),,335561.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.0,0.3893,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0252,Financial strength,
Quick Ratio (MRQ),14.58,1.51,Financial strength,9.655629139072847
Interest Coverage (MRQ),,33.07,Financial strength,
