,ATVI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.52,-577.59,Valuation,-0.05976557765889299
Price/Sales (TTM),7.82,6.3,Valuation,1.2412698412698413
Price/Book (MRQ),3.06,7.63,Valuation,0.4010484927916121
"PEG Ratio (TTM, GAAP)",4.59,-24.63,Valuation,-0.18635809987819732
Gross Profit Margin (TTM),0.7112999999999999,0.41159999999999997,Profitability,1.728134110787172
Operating Profit Margin (TTM),0.2695,0.0672,Profitability,4.010416666666667
Net Profit Margin (TTM),0.2275,0.0336,Profitability,6.770833333333334
Annual Dividend Yield,0.0064,0.0015,Dividend,4.266666666666667
Dividend Change %,0.1463,0.018600000000000002,Dividend,7.865591397849462
"Dividend Growth Rate, 3 Years",0.114,0.010400000000000001,Dividend,10.96153846153846
EPS Growth (MRQ),0.5516,-1.1815,Gowth rates,-0.4668641557342361
EPS Growth (TTM),-0.3697,0.2345,Gowth rates,-1.576545842217484
Revenue Growth (MRQ),0.0839,0.2214,Gowth rates,0.37895212285456187
Revenue Growth (TTM),-0.18730000000000002,0.44170000000000004,Gowth rates,-0.4240434684174779
Return On Equity (TTM),0.0936,0.1716,Effectiveness,0.5454545454545454
Return On Assets (TTM),0.0675,0.0233,Effectiveness,2.8969957081545066
Return On Investment (TTM),0.0739,0.027999999999999997,Effectiveness,2.6392857142857142
Revenue Per Employee (TTM),750714.0,999442.0,Effectiveness,0.7511331322878166
Total Debt/Total Capital (MRQ),0.161,0.4204,Financial strength,0.38296860133206473
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.0014000000000000002,Financial strength,-0.4285714285714285
Quick Ratio (MRQ),,0.41,Financial strength,
Interest Coverage (MRQ),,-3.12,Financial strength,
