,ATVI
% Below High,0.1545
% Held by Institutions,0.8055
52-Wk Range,['56.40 - 86.90']
Annual Dividend $,0.47
Annual Dividend %,0.0064
Ask,73.49
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,0.5
Bid,73.1
Bid Size,100.0
Closing Price,73.47
Day Change $,-3.12
Day Change %,-0.0407
Day High,74.27
Day Low,73.05
Dividend Pay Date,2022-05-06 00:00:00
"EPS (TTM, GAAP)",2.13
Ex-dividend,2022-04-13 00:00:00
Ex-dividend Date,04/13/22
Historical Volatility,0.28
Last (size),1000.0
Last (time),12:59p ET 11/25/22
Market Cap,57.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",34.52
Prev Close,76.59
Short Interest,0.030600000000000002
Today's Open,73.89
Volume,9179830.0
Volume 10-day Avg,6444196.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.2213114754098361
Growth 1yr High Est,-0.15979381443298968
Growth 1yr Consensus Est,-0.19055264492141288
Growth 2yr Low Est,-0.02293643945930396
Growth 2yr High Est,0.07194358358105118
Growth 2yr Consensus Est,0.024503572060873613
Growth 5yr Low Est,0.14939759011003842
Growth 5yr High Est,0.19912784368496758
Growth 5yr Consensus Est,0.174262716897503
Growth 5yr Actual/Est,0.1785918424124207
Growth 3yr Historic,0.1535670829330772
Price/Earnings (TTM),34.51581
Price/Sales (TTM),7.81562
Price/Book (MRQ),3.05693
Price/Cash Flow (TTM),28.90874
5yr Low,39.85
5yr High,104.53
5yr Avg Return,0.06306666666666666
EPS Growth 5yr,0.21959800000000002
Revenue Growth 5yr,0.059039400000000006
Dividend Growth 5yr,0.1257058
Short Int Current Month,23728111.0
Short Int Prev Month,23707078.0
Short Int Pct of Float,0.0305857
Days to Cover,3.86708
Float,775.8923
Shares Outstanding,782.6253
Institutions Holding Shares,1684.0
FCF Growth 5yr,-0.05582585315722133
"Price/Earnings (TTM, GAAP)",34.52
"PEG Ratio (TTM, GAAP)",4.59
Gross Profit Margin (TTM),0.7112999999999999
Operating Profit Margin (TTM),0.2695
Net Profit Margin (TTM),0.2275
Annual Dividend Yield,0.0064
Dividend Change %,0.1463
"Dividend Growth Rate, 3 Years",0.114
EPS Growth (MRQ),0.5516
EPS Growth (TTM),-0.3697
Revenue Growth (MRQ),0.0839
Revenue Growth (TTM),-0.18730000000000002
Return On Equity (TTM),0.0936
Return On Assets (TTM),0.0675
Return On Investment (TTM),0.0739
Revenue Per Employee (TTM),750714.0
Total Debt/Total Capital (MRQ),0.161
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-04-27 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-09-22 00:00:00
