,ESNT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.95,10.14,Valuation,0.4881656804733728
Price/Sales (TTM),4.14,3.47,Valuation,1.1930835734870315
Price/Book (MRQ),0.99,9.31,Valuation,0.10633727175080558
"PEG Ratio (TTM, GAAP)",0.49,4.08,Valuation,0.12009803921568626
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),1.0157,0.4806,Profitability,2.113399916770703
Net Profit Margin (TTM),0.8417,0.36590000000000006,Profitability,2.3003552883301444
Annual Dividend Yield,0.0233,0.028300000000000002,Dividend,0.823321554770318
Dividend Change %,0.09380000000000001,0.0643,Dividend,1.458786936236392
"Dividend Growth Rate, 3 Years",,0.11699999999999999,Dividend,
EPS Growth (MRQ),-0.2322,-0.049,Gowth rates,4.738775510204081
EPS Growth (TTM),0.4339,0.024900000000000002,Gowth rates,17.425702811244978
Revenue Growth (MRQ),0.071,-0.0564,Gowth rates,-1.2588652482269502
Revenue Growth (TTM),0.0087,-0.10250000000000001,Gowth rates,-0.0848780487804878
Return On Equity (TTM),0.20440000000000003,0.1595,Effectiveness,1.2815047021943575
Return On Assets (TTM),0.1552,0.0533,Effectiveness,2.9118198874296435
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),2996219.0,656704.0,Effectiveness,4.5625106592924665
Total Debt/Total Capital (MRQ),0.0892,0.2934,Financial strength,0.30402181322426725
Change in Debt/Total Capital Quarter over Quarter,0.0031,-0.0009,Financial strength,-3.444444444444444
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),48.4,6.57,Financial strength,7.366818873668188
