,ESNT
% Above Low,0.1529
% Held by Institutions,0.9494
52-Wk Range,['34.27 - 50.17']
Annual Dividend $,0.92
Annual Dividend %,0.0233
Ask,41.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,33.78
Bid Size,100.0
Closing Price,39.51
Day Change $,-0.31
Day Change %,-0.0078000000000000005
Day High,40.01
Day Low,39.28
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",7.99
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.321
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.95
Prev Close,39.82
Short Interest,0.0132
Today's Open,39.98
Volume,135539.0
Volume 10-day Avg,469441.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.9560723514211886
Growth 1yr High Est,0.9391727493917272
Growth 1yr Consensus Est,0.9476225504064579
Growth 2yr Low Est,0.35782481507651237
Growth 2yr High Est,0.38489377745621495
Growth 2yr Consensus Est,0.37135929626636366
Growth 5yr Low Est,0.10482149844734709
Growth 5yr High Est,0.12398399120160572
Growth 5yr Consensus Est,0.1144027448244764
Growth 5yr Actual/Est,0.08468578084265163
Growth 3yr Historic,0.06506365888310084
Price/Earnings (TTM),4.94547
Price/Sales (TTM),4.14081
Price/Book (MRQ),0.99089
Price/Cash Flow (TTM),4.90265
5yr Low,17.52
5yr High,55.84
5yr Avg Return,0.006866666666666671
EPS Growth 5yr,0.20423919999999998
Revenue Growth 5yr,0.17549199999999998
Dividend Growth 5yr,
Short Int Current Month,1375164.0
Short Int Prev Month,1903398.0
Short Int Pct of Float,0.0131653
Days to Cover,2.91901
Float,104.525
Shares Outstanding,107.7075
Institutions Holding Shares,355.0
FCF Growth 5yr,0.10188430098421102
"Price/Earnings (TTM, GAAP)",4.95
"PEG Ratio (TTM, GAAP)",0.49
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),1.0157
Net Profit Margin (TTM),0.8417
Annual Dividend Yield,0.0233
Dividend Change %,0.09380000000000001
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2322
EPS Growth (TTM),0.4339
Revenue Growth (MRQ),0.071
Revenue Growth (TTM),0.0087
Return On Equity (TTM),0.20440000000000003
Return On Assets (TTM),0.1552
Return On Investment (TTM),
Revenue Per Employee (TTM),2996219.0
Total Debt/Total Capital (MRQ),0.0892
Change in Debt/Total Capital Quarter over Quarter,0.0031
Quick Ratio (MRQ),
Interest Coverage (MRQ),48.4
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-10-21 00:00:00
researchTeam since,2022-10-21 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
