,SBUX
% Below High,0.1583
% Held by Institutions,0.6797
52-Wk Range,['68.39 - 117.80']
Annual Dividend $,2.12
Annual Dividend %,0.0213
Ask,99.17
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,0.9
Bid,99.15
Bid Size,300.0
Day Change $,-0.405
Day Change %,-0.0040999999999999995
Day High,100.16
Day Low,98.62
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.83
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.35700000000000004
Last (size),100.0
Last (time),1:46p ET 11/28/22
Market Cap,113.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",35.14
Prev Close,99.56
Price,99.16
Short Interest,0.0137
Today's Open,98.99
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,0.17204301075268824
Growth 1yr High Est,0.17666666666666653
Growth 1yr Consensus Est,0.17435483870967738
Growth 2yr Low Est,0.1792936766301667
Growth 2yr High Est,0.16906987724268163
Growth 2yr Consensus Est,0.17418177693642417
Growth 5yr Low Est,0.0814338796582064
Growth 5yr High Est,0.08333128594294277
Growth 5yr Consensus Est,0.08238258280057459
Growth 5yr Actual/Est,0.5019646427576536
Growth 3yr Historic,0.4207027540360875
Price/Earnings (TTM),35.14048
Price/Sales (TTM),3.54338
Price/Book (MRQ),
Price/Cash Flow (TTM),23.74397
5yr Low,47.37
5yr High,126.32
5yr Avg Return,0.10958333333333335
EPS Growth 5yr,0.0749241
Revenue Growth 5yr,0.0757426
Dividend Growth 5yr,0.14406639999999998
Short Int Current Month,15131344.0
Short Int Prev Month,13092385.0
Short Int Pct of Float,0.013662399999999998
Days to Cover,1.62697
Float,1145.638
Shares Outstanding,1147.8
Institutions Holding Shares,2704.0
FCF Growth 5yr,0.2666032228548945
"Price/Earnings (TTM, GAAP)",35.14
"PEG Ratio (TTM, GAAP)",2.13
Gross Profit Margin (TTM),0.2596
Operating Profit Margin (TTM),0.1432
Net Profit Margin (TTM),0.1018
Annual Dividend Yield,0.0213
Dividend Change %,0.0889
"Dividend Growth Rate, 3 Years",0.1082
EPS Growth (MRQ),-0.0392
EPS Growth (TTM),-0.1997
Revenue Growth (MRQ),0.032400000000000005
Revenue Growth (TTM),0.10980000000000001
Return On Equity (TTM),
Return On Assets (TTM),0.1106
Return On Investment (TTM),0.1562
Revenue Per Employee (TTM),80225.0
Total Debt/Total Capital (MRQ),2.3709000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),0.53
Interest Coverage (MRQ),308.11
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2022-04-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-09-02 00:00:00
ford since,2022-08-05 00:00:00
marketEdge opinion since,
