,SBUX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",35.14,114.03,Valuation,0.3081645181092695
Price/Sales (TTM),3.54,5.62,Valuation,0.6298932384341637
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",2.13,0.53,Valuation,4.018867924528301
Gross Profit Margin (TTM),0.2596,0.4054,Profitability,0.6403552047360632
Operating Profit Margin (TTM),0.1432,0.163,Profitability,0.8785276073619631
Net Profit Margin (TTM),0.1018,0.0779,Profitability,1.306803594351733
Annual Dividend Yield,0.0213,0.011200000000000002,Dividend,1.901785714285714
Dividend Change %,0.0889,0.056100000000000004,Dividend,1.5846702317290553
"Dividend Growth Rate, 3 Years",0.1082,0.031000000000000003,Dividend,3.490322580645161
EPS Growth (MRQ),-0.0392,0.3309,Gowth rates,-0.11846479298881836
EPS Growth (TTM),-0.1997,2.1359,Gowth rates,-0.09349688655835947
Revenue Growth (MRQ),0.032400000000000005,0.38439999999999996,Gowth rates,0.0842872008324662
Revenue Growth (TTM),0.10980000000000001,0.7695000000000001,Gowth rates,0.14269005847953217
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.1106,0.0758,Effectiveness,1.4591029023746702
Return On Investment (TTM),0.1562,0.1005,Effectiveness,1.554228855721393
Revenue Per Employee (TTM),80225.0,285753.0,Effectiveness,0.28074945844838023
Total Debt/Total Capital (MRQ),2.3709000000000002,1.1596,Financial strength,2.044584339427389
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.002,Financial strength,0.75
Quick Ratio (MRQ),0.53,0.81,Financial strength,0.654320987654321
Interest Coverage (MRQ),308.11,40.22,Financial strength,7.660616608652412
