,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.84,21.83,8.07,,,,,
low,9.15,7.05,1.55,,,,,
change,0.5146000000000001,-0.5272,-0.7972,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,66810.0,62499.0,83048.0,117885.0,Balance Sheet
Short Term Investments,,,,378200.0,351988.0,295876.0,232927.0,Balance Sheet
Cash and Short Term Invs,,,,445010.0,414487.0,378924.0,350812.0,Balance Sheet
"Total Receivables, Net",,,,6410.0,5205.0,6305.0,7352.0,Balance Sheet
Invent. - Finished Goods,,,,279.0,348.0,61.0,85.0,Balance Sheet
Invent. - Work In Progress,,,,116.0,0.0,0.0,118.0,Balance Sheet
Invent. - Raw Materials,,,,1668.0,1578.0,1793.0,1310.0,Balance Sheet
Total Inventory,,,,2063.0,1926.0,1854.0,1513.0,Balance Sheet
Prepaid Expenses,,,,2819.0,2251.0,4478.0,3697.0,Balance Sheet
"Other Curr. Assets, Total",,,,2182.0,1422.0,1870.0,2023.0,Balance Sheet
Total Current Assets,,,,458484.0,425291.0,393431.0,365397.0,Balance Sheet
Buildings,,,,1330.0,2497.0,2742.0,2848.0,Balance Sheet
Machinery/Equipment,,,,5292.0,5493.0,6999.0,7601.0,Balance Sheet
Construction in Progress,,,,980.0,1414.0,1072.0,1361.0,Balance Sheet
Other Prop./Plant/Equip.,,,,10658.0,10697.0,10388.0,10174.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,18260.0,20101.0,21201.0,21984.0,Balance Sheet
Accumulated Depreciation,,,,-2840.0,-3245.0,-3819.0,-4471.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,15420.0,16856.0,17382.0,17513.0,Balance Sheet
Intangibles - Net,,,,4425.0,4200.0,3975.0,3750.0,Balance Sheet
Other Long Term Assets,,,,859.0,860.0,860.0,863.0,Balance Sheet
Total Assets,,,,479188.0,447207.0,415648.0,387523.0,Balance Sheet
Accounts Payable,,,,4386.0,6645.0,4501.0,5883.0,Balance Sheet
Accrued Expenses,,,,9178.0,6776.0,7881.0,10501.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,0.0,,,,Balance Sheet
Other Current Liabilities,,,,733.0,167.0,107.0,76.0,Balance Sheet
"Other Curr. Lblts, Total",,,,733.0,167.0,107.0,76.0,Balance Sheet
Total Current Liabilities,,,,14297.0,13588.0,12489.0,16460.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,8515.0,7128.0,6271.0,5535.0,Balance Sheet
Total Liabilities,,,,22812.0,20716.0,18760.0,21995.0,Balance Sheet
Common Stock,,,,21.0,22.0,22.0,22.0,Balance Sheet
Additional Paid-In Capital,,,,619841.0,625567.0,631885.0,637780.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-162962.0,-196119.0,-231090.0,-267593.0,Balance Sheet
"Other Equity, Total",,,,-524.0,-2979.0,-3929.0,-4681.0,Balance Sheet
Total Equity,,,,456376.0,426491.0,396888.0,365528.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,479188.0,447207.0,415648.0,387523.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,214997.0,216644.0,217212.0,218153.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,2873.0,1137.0,1493.0,1374.0,Income Statement
"Cost of Revenue, Total",,,,1930.0,675.0,891.0,2265.0,Income Statement
Selling/Gen/Admin Expense,,,,7548.0,7195.0,8673.0,8721.0,Income Statement
Labor & Related Expense,,,,1582.0,1325.0,1576.0,1567.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,9130.0,8520.0,10249.0,10288.0,Income Statement
Research & Development,,,,23749.0,25315.0,25938.0,26123.0,Income Statement
Unusual Expense (Income),,,,,700.0,100.0,500.0,Income Statement
Total Operating Expense,,,,34809.0,35210.0,37178.0,39176.0,Income Statement
Total Operating Income,,,,-31936.0,-34073.0,-35685.0,-37802.0,Income Statement
"Inter Income, Non-Operating",,,,144.0,283.0,586.0,1164.0,Income Statement
"Invest Income, Non-Operat",,,,,-634.0,-153.0,-135.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,144.0,-351.0,433.0,1029.0,Income Statement
OtherNon-OperatInc (Expnse),,,,50.0,1267.0,281.0,270.0,Income Statement
"Other, Net",,,,50.0,1267.0,281.0,270.0,Income Statement
