,AEVA
% Above Low,0.0195
% Held by Institutions,0.4107
52-Wk Range,['1.54 - 10.75']
Annual Dividend $,
Annual Dividend %,
Ask,1.61
Ask Size,600.0
B/A Ratio,0.8333333333333334
B/A Size,500x600
Beta,
Bid,1.54
Bid Size,500.0
Closing Price,1.57
Day Change $,-0.05
Day Change %,-0.030899999999999997
Day High,1.6
Day Low,1.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.63
Ex-dividend Date,No dividend
Historical Volatility,0.867
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,339.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.62
Short Interest,0.061799999999999994
Today's Open,1.59
Volume,704061.0
Volume 10-day Avg,1581153.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.22058823529411753
Growth 2yr High Est,-0.13559322033898302
Growth 2yr Consensus Est,0.04249750747756725
Growth 5yr Low Est,0.22058823529411753
Growth 5yr High Est,-0.13559322033898302
Growth 5yr Consensus Est,0.04249750747756725
Growth 5yr Actual/Est,0.15088848039215685
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),49.82147
Price/Book (MRQ),0.937
Price/Cash Flow (TTM),
5yr Low,1.55
5yr High,21.83
5yr Avg Return,-0.2699333333333333
Short Int Current Month,7768254.0
Short Int Prev Month,6940190.0
Short Int Pct of Float,0.061789
Days to Cover,5.07308
Float,125.9337
Shares Outstanding,218.2307
Institutions Holding Shares,175.0
FCF Growth 5yr,0.3202935654548558
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1623
Operating Profit Margin (TTM),-20.2844
Net Profit Margin (TTM),-19.8303
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.039
EPS Growth (TTM),-0.5746
Revenue Growth (MRQ),-0.0797
Revenue Growth (TTM),-0.0347
Return On Equity (TTM),-0.32180000000000003
Return On Assets (TTM),-0.3052
Return On Investment (TTM),-0.31620000000000004
Revenue Per Employee (TTM),30295.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),22.11
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-05 00:00:00
ford since,2022-02-25 00:00:00
cfra since,
theStreet since,2022-05-05 00:00:00
newConstructs since,
marketEdge opinion since,
