,AEVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,21.62,Valuation,
Price/Sales (TTM),49.82,5.43,Valuation,9.174953959484347
Price/Book (MRQ),0.94,5.49,Valuation,0.17122040072859743
"PEG Ratio (TTM, GAAP)",,14.73,Valuation,
Gross Profit Margin (TTM),0.1623,0.33659999999999995,Profitability,0.48217468805704106
Operating Profit Margin (TTM),-20.2844,-0.0824,Profitability,246.16990291262138
Net Profit Margin (TTM),-19.8303,-0.1173,Profitability,169.05626598465474
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),-0.039,0.1058,Gowth rates,-0.36862003780718333
EPS Growth (TTM),-0.5746,-0.0147,Gowth rates,39.08843537414966
Revenue Growth (MRQ),-0.0797,0.1655,Gowth rates,-0.4815709969788519
Revenue Growth (TTM),-0.0347,0.1855,Gowth rates,-0.18706199460916442
Return On Equity (TTM),-0.32180000000000003,0.23850000000000002,Effectiveness,-1.349266247379455
Return On Assets (TTM),-0.3052,0.0752,Effectiveness,-4.058510638297872
Return On Investment (TTM),-0.31620000000000004,0.1041,Effectiveness,-3.0374639769452454
Revenue Per Employee (TTM),30295.0,449465.0,Effectiveness,0.06740235613451548
Total Debt/Total Capital (MRQ),0.0,0.3575,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0362,Financial strength,
Quick Ratio (MRQ),22.11,1.53,Financial strength,14.450980392156863
Interest Coverage (MRQ),,15.46,Financial strength,
