,BIIB
% Below High,0.0077
% Held by Institutions,
52-Wk Range,['187.16 - 307.53']
Annual Dividend $,
Annual Dividend %,
Ask,308.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,
Bid,302.8
Bid Size,500.0
Closing Price,305.15
Day Change $,1.7
Day Change %,0.005600000000000001
Day High,307.53
Day Low,302.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",
Ex-dividend Date,No dividend
Historical Volatility,0.47200000000000003
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,44.0B
"P/E Ratio (TTM, GAAP)",--x
Prev Close,303.45
Short Interest,
Today's Open,304.35
Volume,470765.0
Volume 10-day Avg,1144594.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.1041110517885745
Growth 1yr High Est,-0.10687405920722526
Growth 1yr Consensus Est,-0.10549255549789988
Growth 2yr Low Est,-0.13161452470239215
Growth 2yr High Est,-0.032650512749680116
Growth 2yr Consensus Est,-0.08213251872603614
Growth 5yr Low Est,-0.1660187956023534
Growth 5yr High Est,-0.12284808760918386
Growth 5yr Consensus Est,-0.14443344160576863
Growth 5yr Actual/Est,-0.153908754506197
Growth 3yr Historic,-0.10645027132286583
5yr Low,187.16
5yr High,468.55
5yr Avg Return,0.002766666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0082963
Dividend Growth 5yr,
FCF Growth 5yr,2.161524935701134
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-10-30 00:00:00
cfra since,2021-06-07 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
theStreet since,2022-10-03 00:00:00
marketEdge opinion since,
