,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,19.5,60.42,65.9,63.06,,,,,
low,8.9,7.01,20.75,19.17,,,,,
change,0.1826,2.3832,-0.5603,1.0906,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,188.0,156.0,138.0,364.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,209.0,239.0,314.0,439.0,Balance Sheet
Prov. for Doubtful Accts,,,,,0.0,0.0,0.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,216.0,246.0,321.0,446.0,Balance Sheet
Other Receivables,,,,,32.0,,35.0,37.0,Balance Sheet
"Total Receivables, Net",,,,,248.0,246.0,356.0,484.0,Balance Sheet
Total Inventory,,,,,37.0,54.0,72.0,63.0,Balance Sheet
Prepaid Expenses,,,,,20.0,58.0,73.0,61.0,Balance Sheet
Restricted Cash - Current,,,,,69.0,75.0,72.0,24.0,Balance Sheet
Other Current Assets,,,,,24.0,17.0,25.0,48.0,Balance Sheet
"Other Curr. Assets, Total",,,,,92.0,92.0,97.0,73.0,Balance Sheet
Total Current Assets,,,,,585.0,606.0,737.0,1045.0,Balance Sheet
Buildings,,,,,9.0,9.0,9.0,9.0,Balance Sheet
Land/Improvements,,,,,55.0,54.0,54.0,52.0,Balance Sheet
Machinery/Equipment,,,,,2215.0,2265.0,2288.0,2293.0,Balance Sheet
Construction in Progress,,,,,1044.0,1238.0,1401.0,1835.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,310.0,420.0,408.0,391.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,3634.0,3987.0,4160.0,4580.0,Balance Sheet
Accumulated Depreciation,,,,,-143.0,-168.0,-195.0,-222.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,3491.0,3818.0,3966.0,4359.0,Balance Sheet
"Goodwill, Net",,,,,760.0,760.0,778.0,778.0,Balance Sheet
Intangibles - Gross,,,,,174.0,174.0,172.0,157.0,Balance Sheet
Accum. Intangible Amort.,,,,,-31.0,-38.0,-51.0,-65.0,Balance Sheet
Intangibles - Net,,,,,143.0,136.0,121.0,92.0,Balance Sheet
Long Term Investments,,,,,1201.0,1346.0,958.0,1033.0,Balance Sheet
Note Rcvble - Long Term,,,,,639.0,637.0,634.0,36.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,6.0,6.0,6.0,5.0,Balance Sheet
Disct. Ops. - LT Asset,,,,,,,,42.0,Balance Sheet
Restricted Cash - LT,,,,,8.0,8.0,8.0,3.0,Balance Sheet
Other Long Term Assets,,,,,43.0,49.0,45.0,49.0,Balance Sheet
Total Assets,,,,,6876.0,7366.0,7251.0,7441.0,Balance Sheet
Accounts Payable,,,,,68.0,81.0,111.0,104.0,Balance Sheet
Accrued Expenses,,,,,287.0,309.0,287.0,330.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,101.0,105.0,104.0,58.0,Balance Sheet
Customer Advances,,,,,29.0,19.0,31.0,17.0,Balance Sheet
Income Taxes Payable,,,,,9.0,10.0,19.0,26.0,Balance Sheet
Other Payables,,,,,9.0,22.0,21.0,6.0,Balance Sheet
Other Current Liabilities,,,,,59.0,31.0,24.0,30.0,Balance Sheet
