,NFE
% Below High,0.1954
% Held by Institutions,0.47869999999999996
52-Wk Range,['19.17 - 63.06']
Annual Dividend $,0.4
Annual Dividend %,0.0079
Ask,54.9
Ask Size,500.0
Ask close,54.09
B/A Ratio,0.2
B/A Size,100x500
Beta,1.6
Bid,45.01
Bid Size,100.0
Bid close,47.82
Change Since Close,-0.69| |(-1.36%)
Closing Price,50.74
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-20 00:00:00
"EPS (TTM, GAAP)",1.31
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.642
Last (size),5.0
Last (time),1:00p ET 11/25/22
Last Trade,50.05
Market Cap,10.6B
"P/E Ratio (TTM, GAAP)",38.88
Prev Close,50.74
Short Interest,0.061200000000000004
Today's Open,
Volume,786.0
Volume 10-day Avg,1585245.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.1634615384615383
Growth 2yr High Est,2.6754716981132076
Growth 2yr Consensus Est,2.419466618287373
Growth 5yr Low Est,2.1634615384615383
Growth 5yr High Est,2.6754716981132076
Growth 5yr Consensus Est,2.419466618287373
Growth 5yr Actual/Est,0.16982825244638977
Growth 3yr Historic,-0.9797683275150746
Price/Earnings (TTM),38.87527
Price/Sales (TTM),4.28773
Price/Book (MRQ),5.73491
Price/Cash Flow (TTM),13.73147
5yr Low,7.01
5yr High,65.9
5yr Avg Return,0.7740250000000001
EPS Growth 5yr,
Revenue Growth 5yr,1.281587
Dividend Growth 5yr,
Short Int Current Month,5625526.0
Short Int Prev Month,4947476.0
Short Int Pct of Float,0.061249200000000004
Days to Cover,2.40268
Float,97.43433
Shares Outstanding,208.7701
Institutions Holding Shares,294.0
FCF Growth 5yr,1.1033412245081353
"Price/Earnings (TTM, GAAP)",38.88
"PEG Ratio (TTM, GAAP)",0.18
Gross Profit Margin (TTM),0.5295000000000001
Operating Profit Margin (TTM),0.2754
Net Profit Margin (TTM),0.2565
Annual Dividend Yield,0.0079
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3641
EPS Growth (TTM),5.4869
Revenue Growth (MRQ),0.2515
Revenue Growth (TTM),2.0133
Return On Equity (TTM),0.1605
Return On Assets (TTM),0.0898
Return On Investment (TTM),0.1023
Revenue Per Employee (TTM),3681869.0
Total Debt/Total Capital (MRQ),0.6905
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),1.72
Interest Coverage (MRQ),3.03
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-03-02 00:00:00
theStreet since,2022-11-25 00:00:00
cfra since,2022-06-17 00:00:00
ford since,2022-07-29 00:00:00
marketEdge opinion since,
