,NFE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",38.88,9.13,Valuation,4.258488499452355
Price/Sales (TTM),4.29,7.57,Valuation,0.5667107001321003
Price/Book (MRQ),5.73,4.65,Valuation,1.232258064516129
"PEG Ratio (TTM, GAAP)",0.18,0.01,Valuation,18.0
Gross Profit Margin (TTM),0.5295000000000001,0.35119999999999996,Profitability,1.507687927107062
Operating Profit Margin (TTM),0.2754,0.192,Profitability,1.434375
Net Profit Margin (TTM),0.2565,0.0358,Profitability,7.164804469273744
Annual Dividend Yield,0.0079,0.0379,Dividend,0.20844327176781002
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),1.3641,2.3421000000000003,Gowth rates,0.5824260279236583
EPS Growth (TTM),5.4869,7.2215,Gowth rates,0.7598005954441599
Revenue Growth (MRQ),0.2515,0.7168000000000001,Gowth rates,0.3508649553571428
Revenue Growth (TTM),2.0133,47.807,Gowth rates,0.04211307967452465
Return On Equity (TTM),0.1605,0.3993,Effectiveness,0.4019534184823441
Return On Assets (TTM),0.0898,0.15810000000000002,Effectiveness,0.5679949399114484
Return On Investment (TTM),0.1023,0.2237,Effectiveness,0.4573088958426464
Revenue Per Employee (TTM),3681869.0,7554984.0,Effectiveness,0.4873430572453893
Total Debt/Total Capital (MRQ),0.6905,0.3658,Financial strength,1.887643521049754
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.002,Financial strength,-0.2
Quick Ratio (MRQ),1.72,0.96,Financial strength,1.7916666666666667
Interest Coverage (MRQ),3.03,13.28,Financial strength,0.22816265060240964
