,DHT
% Below High,0.037599999999999995
% Held by Institutions,0.6088
52-Wk Range,['4.55 - 10.64']
Annual Dividend $,0.16
Annual Dividend %,0.015600000000000001
Ask,10.23
Ask Size,
B/A Ratio,
B/A Size,--
Beta,-0.2
Bid,
Bid Size,
Closing Price,10.24
Day Change $,0.1
Day Change %,0.009899999999999999
Day High,10.28
Day Low,9.65
Dividend Pay Date,2022-11-29 00:00:00
"EPS (TTM, GAAP)",-0.19
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.454
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.14
Short Interest,0.037599999999999995
Today's Open,9.97
Volume,1114759.0
Volume 10-day Avg,2285938.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.9085714285714286
Growth 1yr High Est,-0.7727272727272727
Growth 1yr Consensus Est,-0.8406493506493506
Growth 2yr Low Est,0.8582142857142855
Growth 2yr High Est,0.846969696969697
Growth 2yr Consensus Est,0.8525919913419913
Growth 5yr Low Est,0.572142857142857
Growth 5yr High Est,0.5646464646464647
Growth 5yr Consensus Est,0.568394660894661
Growth 5yr Actual/Est,0.055213927478985014
Growth 3yr Historic,0.2672882308845579
Price/Earnings (TTM),
Price/Sales (TTM),5.21725
Price/Book (MRQ),1.64808
Price/Cash Flow (TTM),16.88774
5yr Low,3.27
5yr High,10.64
5yr Avg Return,0.27659999999999996
EPS Growth 5yr,
Revenue Growth 5yr,-0.036342400000000004
Dividend Growth 5yr,-0.2879065
Short Int Current Month,5042821.0
Short Int Prev Month,4151894.0
Short Int Pct of Float,0.0375533
Days to Cover,1.95056
Float,134.2843
Shares Outstanding,162.6533
Institutions Holding Shares,200.0
FCF Growth 5yr,1.7921761412058625
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3287
Operating Profit Margin (TTM),-0.071
Net Profit Margin (TTM),-0.0978
Annual Dividend Yield,0.015600000000000001
Dividend Change %,-0.9037000000000001
"Dividend Growth Rate, 3 Years",0.1757
EPS Growth (MRQ),1.5623
EPS Growth (TTM),-1.4552
Revenue Growth (MRQ),0.3078
Revenue Growth (TTM),-0.1732
Return On Equity (TTM),-0.029900000000000003
Return On Assets (TTM),-0.0195
Return On Investment (TTM),-0.0202
Revenue Per Employee (TTM),17735720.0
Total Debt/Total Capital (MRQ),0.32
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),0.16
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-11-05 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-11-05 00:00:00
marketEdge opinion since,
