,MCFT
% Below High,0.1536
% Held by Institutions,0.9415
52-Wk Range,['18.49 - 29.69']
Annual Dividend $,
Annual Dividend %,
Ask,26.02
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,20.53
Bid Size,100.0
Closing Price,25.13
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.95
Ex-dividend Date,No dividend
Historical Volatility,0.445
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,447.4M
"P/E Ratio (TTM, GAAP)",6.37
Prev Close,25.13
Short Interest,0.0385
Today's Open,
Volume,24409.0
Volume 10-day Avg,100150.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.11764705882352944
Growth 2yr High Est,0.06444444444444453
Growth 2yr Consensus Est,-0.026601307189542456
Growth 5yr Low Est,-0.11764705882352944
Growth 5yr High Est,0.06444444444444453
Growth 5yr Consensus Est,-0.026601307189542456
Growth 5yr Actual/Est,0.44479177632038314
Growth 3yr Historic,0.4604376155476394
Price/Earnings (TTM),6.3677
Price/Sales (TTM),0.61009
Price/Book (MRQ),3.13683
Price/Cash Flow (TTM),5.24376
5yr Low,4.9
5yr High,39.5
5yr Avg Return,0.038566666666666666
EPS Growth 5yr,0.24340779999999998
Revenue Growth 5yr,0.2536074
Dividend Growth 5yr,
Short Int Current Month,667750.0
Short Int Prev Month,678501.0
Short Int Pct of Float,0.0385061
Days to Cover,5.89922
Float,17.3414
Shares Outstanding,17.80438
Institutions Holding Shares,164.0
FCF Growth 5yr,1.3361485437480398
"Price/Earnings (TTM, GAAP)",6.37
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.24300000000000002
Operating Profit Margin (TTM),0.131
Net Profit Margin (TTM),0.09880000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.1586
EPS Growth (TTM),0.2737
Revenue Growth (MRQ),-0.2212
Revenue Growth (TTM),0.32689999999999997
Return On Equity (TTM),0.554
Return On Assets (TTM),0.2585
Return On Investment (TTM),0.35619999999999996
Revenue Per Employee (TTM),419067.0
Total Debt/Total Capital (MRQ),0.2791
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),0.85
Interest Coverage (MRQ),78.4
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-20 00:00:00
theStreet since,2021-06-07 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
