,M,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.93,18.18,Valuation,0.27117711771177117
Price/Sales (TTM),0.25,1.07,Valuation,0.2336448598130841
Price/Book (MRQ),1.84,6.63,Valuation,0.277526395173454
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.40240000000000004,0.30210000000000004,Profitability,1.3320092684541542
Operating Profit Margin (TTM),0.07780000000000001,0.0694,Profitability,1.1210374639769454
Net Profit Margin (TTM),0.054900000000000004,0.0507,Profitability,1.0828402366863905
Annual Dividend Yield,0.026600000000000002,0.016399999999999998,Dividend,1.6219512195121955
Dividend Change %,-0.2053,0.1234,Dividend,-1.6636952998379255
"Dividend Growth Rate, 3 Years",-0.4165,0.0604,Dividend,-6.89569536423841
EPS Growth (MRQ),-0.6077,-0.21030000000000001,Gowth rates,2.8896814075130766
EPS Growth (TTM),0.7898000000000001,0.6343,Gowth rates,1.2451521362131486
Revenue Growth (MRQ),-0.0634,0.0556,Gowth rates,-1.1402877697841727
Revenue Growth (TTM),0.0987,0.058600000000000006,Gowth rates,1.6843003412969282
Return On Equity (TTM),0.43560000000000004,0.3091,Effectiveness,1.409252669039146
Return On Assets (TTM),0.07740000000000001,0.0764,Effectiveness,1.0130890052356023
Return On Investment (TTM),0.1223,0.11320000000000001,Effectiveness,1.0803886925795052
Revenue Per Employee (TTM),289330.0,285695.0,Effectiveness,1.0127233588267208
Total Debt/Total Capital (MRQ),0.4778,0.4823,Financial strength,0.9906697076508397
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0017000000000000001,Financial strength,-0.411764705882353
Quick Ratio (MRQ),0.14,0.17,Financial strength,0.823529411764706
Interest Coverage (MRQ),4.17,12.95,Financial strength,0.32200772200772204
