,M
% Below High,0.2427
% Held by Institutions,0.8047
52-Wk Range,['15.10 - 31.23']
Annual Dividend $,0.63
Annual Dividend %,0.026600000000000002
Ask,23.45
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,23.37
Bid Size,200.0
Change Since Close,-0.38| |(-1.61%)
Closing Price,23.65
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",4.8
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.654
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,23.27
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.93
Prev Close,23.65
Short Interest,0.07
Today's Open,
Volume,1016.0
Volume 10-day Avg,15158264.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1915422885572139
Growth 2yr High Est,0.02088167053364276
Growth 2yr Consensus Est,-0.08533030901178557
Growth 5yr Low Est,-0.1915422885572139
Growth 5yr High Est,0.02088167053364276
Growth 5yr Consensus Est,-0.08533030901178557
Growth 5yr Actual/Est,-1.355988310444462
Growth 3yr Historic,-1.2905412759870005
Price/Earnings (TTM),4.92761
Price/Sales (TTM),0.2493
Price/Book (MRQ),1.8443
Price/Cash Flow (TTM),2.83968
5yr Low,4.38
5yr High,41.99
5yr Avg Return,0.11918333333333331
EPS Growth 5yr,0.1750596
Revenue Growth 5yr,-0.0037994
Dividend Growth 5yr,-0.2744934
Short Int Current Month,18904105.0
Short Int Prev Month,19376348.0
Short Int Pct of Float,0.0700174
Days to Cover,1.99369
Float,270.1969
Shares Outstanding,271.0
Institutions Holding Shares,529.0
FCF Growth 5yr,6.743195145940512
"Price/Earnings (TTM, GAAP)",4.93
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40240000000000004
Operating Profit Margin (TTM),0.07780000000000001
Net Profit Margin (TTM),0.054900000000000004
Annual Dividend Yield,0.026600000000000002
Dividend Change %,-0.2053
"Dividend Growth Rate, 3 Years",-0.4165
EPS Growth (MRQ),-0.6077
EPS Growth (TTM),0.7898000000000001
Revenue Growth (MRQ),-0.0634
Revenue Growth (TTM),0.0987
Return On Equity (TTM),0.43560000000000004
Return On Assets (TTM),0.07740000000000001
Return On Investment (TTM),0.1223
Revenue Per Employee (TTM),289330.0
Total Debt/Total Capital (MRQ),0.4778
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.14
Interest Coverage (MRQ),4.17
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-05-27 00:00:00
theStreet since,2022-05-27 00:00:00
cfra since,2022-10-27 00:00:00
ford since,2022-08-12 00:00:00
marketEdge opinion since,
