,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,40.5,80.31,96.48,66.12,,,,,
low,17.02,19.5,51.72,13.6,,,,,
change,0.5710000000000001,0.8841,-0.15560000000000002,-0.6278,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,104.0,82.0,70.0,476.0,Balance Sheet
Short Term Investments,,,,,270.0,266.0,265.0,176.0,Balance Sheet
Cash and Short Term Invs,,,,,374.0,348.0,335.0,652.0,Balance Sheet
Prepaid Expenses,,,,,9.0,8.0,7.0,5.0,Balance Sheet
Total Current Assets,,,,,383.0,356.0,342.0,657.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,4.0,11.0,14.0,16.0,Balance Sheet
LT Invt. - Affiliate Comp.,,,,,3.0,3.0,6.0,5.0,Balance Sheet
LT Investments - Other,,,,,59.0,32.0,0.0,0.0,Balance Sheet
Long Term Investments,,,,,62.0,35.0,6.0,5.0,Balance Sheet
Other Long Term Assets,,,,,3.0,3.0,3.0,2.0,Balance Sheet
Total Assets,,,,,452.0,406.0,366.0,682.0,Balance Sheet
Accounts Payable,,,,,3.0,2.0,2.0,5.0,Balance Sheet
Accrued Expenses,,,,,25.0,21.0,32.0,39.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,1.0,0.0,1.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,,5.0,Balance Sheet
Total Current Liabilities,,,,,30.0,23.0,35.0,49.0,Balance Sheet
Total Long Term Debt,,,,,0.0,6.0,5.0,5.0,Balance Sheet
Total Debt,,,,,1.0,6.0,6.0,6.0,Balance Sheet
"Other Liabilities, Total",,,,,0.0,,,15.0,Balance Sheet
Total Liabilities,,,,,30.0,29.0,40.0,69.0,Balance Sheet
Redeemable Preferred Stock,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,715.0,733.0,752.0,1111.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-293.0,-354.0,-423.0,-496.0,Balance Sheet
Treasury Stock - Common,,,,,,-1.0,-1.0,-1.0,Balance Sheet
"Other Equity, Total",,,,,0.0,-1.0,-2.0,-2.0,Balance Sheet
Total Equity,,,,,422.0,377.0,326.0,612.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,452.0,406.0,366.0,682.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,49.0,49.0,49.0,62.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,,,19621.0,17344.0,20602.0,24256.0,Income Statement
Labor & Related Expense,,,,,6831.0,10022.0,10385.0,11417.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,26452.0,27366.0,30987.0,35673.0,Income Statement
Research & Development,,,,,29344.0,34103.0,38024.0,36067.0,Income Statement
Total Operating Expense,,,,,55796.0,61469.0,69011.0,71740.0,Income Statement
Total Operating Income,,,,,-55796.0,-61469.0,-69011.0,-71740.0,Income Statement
