,SWTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),,45.03,Valuation,
Price/Book (MRQ),2.43,12.61,Valuation,0.19270420301348137
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),,-4.7459,Profitability,
Net Profit Margin (TTM),,-4.5467,Profitability,
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0275,-0.0014000000000000002,Gowth rates,-19.64285714285714
EPS Growth (TTM),-1.3641999999999999,0.027200000000000002,Gowth rates,-50.15441176470588
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),-1.0,0.9747,Gowth rates,-1.0259567046270648
Return On Equity (TTM),-0.4806,0.1967,Effectiveness,-2.443314692425013
Return On Assets (TTM),-0.44070000000000004,0.0016,Effectiveness,-275.4375
Return On Investment (TTM),-0.4718,0.0219,Effectiveness,-21.54337899543379
Revenue Per Employee (TTM),0.0,1476201.0,Effectiveness,0.0
Total Debt/Total Capital (MRQ),0.009300000000000001,0.4675,Financial strength,0.019893048128342247
Change in Debt/Total Capital Quarter over Quarter,0.015700000000000002,0.0036,Financial strength,4.361111111111112
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),-124.98,2.69,Financial strength,-46.46096654275093
