,SWTX
% Above Low,0.6915000000000001
% Held by Institutions,0.9882
52-Wk Range,['13.60 - 74.97']
Annual Dividend $,
Annual Dividend %,
Ask,23.03
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,22.98
Bid Size,200.0
Day Change $,-0.825
Day Change %,-0.0346
Day High,23.77
Day Low,22.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.19
Ex-dividend Date,No dividend
Historical Volatility,0.973
Last (size),100.0
Last (time),3:47p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,23.83
Price,23.01
Short Interest,0.22329999999999997
Today's Open,23.42
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.026315789473684292
Growth 2yr High Est,-0.19881889763779526
Growth 2yr Consensus Est,-0.11256734355573977
Growth 5yr Low Est,-0.026315789473684292
Growth 5yr High Est,-0.19881889763779526
Growth 5yr Consensus Est,-0.11256734355573977
Growth 5yr Actual/Est,0.5172573271173444
Growth 3yr Historic,0.42747658620234796
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),2.42746
Price/Cash Flow (TTM),
5yr Low,13.6
5yr High,96.48
5yr Avg Return,0.16792499999999996
Short Int Current Month,12100664.0
Short Int Prev Month,11046180.0
Short Int Pct of Float,0.2233311
Days to Cover,13.26638
Float,54.22371
Shares Outstanding,62.38227
Institutions Holding Shares,226.0
FCF Growth 5yr,0.1524108879350612
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0275
EPS Growth (TTM),-1.3641999999999999
Revenue Growth (MRQ),
Revenue Growth (TTM),-1.0
Return On Equity (TTM),-0.4806
Return On Assets (TTM),-0.44070000000000004
Return On Investment (TTM),-0.4718
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.009300000000000001
Change in Debt/Total Capital Quarter over Quarter,0.015700000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-124.98
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
