,ANIP
% Below High,0.19399999999999998
% Held by Institutions,0.735
52-Wk Range,['22.31 - 51.69']
Annual Dividend $,
Annual Dividend %,
Ask,49.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,1.0
Bid,16.73
Bid Size,200.0
Closing Price,41.66
Day Change $,1.47
Day Change %,0.0366
Day High,41.66
Day Low,39.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.48
Ex-dividend Date,No dividend
Historical Volatility,0.504
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,727.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,40.19
Short Interest,0.0397
Today's Open,39.95
Volume,48911.0
Volume 10-day Avg,74127.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.6277777777777778
Growth 1yr High Est,-0.6324324324324324
Growth 1yr Consensus Est,-0.6301051051051051
Growth 2yr Low Est,0.13387230514096182
Growth 2yr High Est,0.4080484896661366
Growth 2yr Consensus Est,0.2709603974035492
Growth 5yr Low Est,-0.007282597429519089
Growth 5yr High Est,0.13156743101349058
Growth 5yr Consensus Est,0.06214241679198573
Growth 5yr Actual/Est,0.04253598757255811
Growth 3yr Historic,-0.09778938452851496
Price/Earnings (TTM),
Price/Sales (TTM),2.5702
Price/Book (MRQ),2.33518
Price/Cash Flow (TTM),
5yr Low,22.31
5yr High,86.96
5yr Avg Return,0.0007499999999999929
EPS Growth 5yr,
Revenue Growth 5yr,0.1093852
Dividend Growth 5yr,
Short Int Current Month,502219.0
Short Int Prev Month,573692.0
Short Int Pct of Float,0.039698199999999996
Days to Cover,6.41027
Float,12.9295
Shares Outstanding,17.46467
Institutions Holding Shares,191.0
FCF Growth 5yr,-9.243276808269654
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5183
Operating Profit Margin (TTM),-0.21489999999999998
Net Profit Margin (TTM),-0.2395
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4136
EPS Growth (TTM),-1.4486
Revenue Growth (MRQ),0.1349
Revenue Growth (TTM),0.33240000000000003
Return On Equity (TTM),-0.275
Return On Assets (TTM),-0.1121
Return On Investment (TTM),-0.13
Revenue Per Employee (TTM),471018.0
Total Debt/Total Capital (MRQ),0.45990000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),2.62
Interest Coverage (MRQ),-0.48
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-20 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-18 00:00:00
