,IRDM
% Below High,0.0226
% Held by Institutions,0.8431000000000001
52-Wk Range,['31.73 - 53.61']
Annual Dividend $,
Annual Dividend %,
Ask,52.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,52.17
Bid Size,100.0
Closing Price,52.4
Day Change $,0.63
Day Change %,0.012199999999999999
Day High,52.57
Day Low,51.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.03
Ex-dividend Date,No dividend
Historical Volatility,0.4
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,6.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1811.27
Prev Close,51.77
Short Interest,0.044000000000000004
Today's Open,52.07
Volume,256635.0
Volume 10-day Avg,481904.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-1.6666666666666665
Growth 1yr High Est,-5.5
Growth 1yr Consensus Est,-3.583333333333333
Growth 2yr Low Est,-0.8333333333333333
Growth 2yr High Est,-1.1944444444444442
Growth 2yr Consensus Est,-1.0138888888888888
Growth 5yr Low Est,-0.8333333333333333
Growth 5yr High Est,-1.1944444444444442
Growth 5yr Consensus Est,-1.0138888888888886
Growth 5yr Actual/Est,-0.6026002506265664
Growth 3yr Historic,-0.3793859649122807
Price/Earnings (TTM),1811.269
Price/Sales (TTM),9.63814
Price/Book (MRQ),5.75477
Price/Cash Flow (TTM),21.40682
5yr Low,10.75
5yr High,54.65
5yr Avg Return,0.30271666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.0722067
Dividend Growth 5yr,
Short Int Current Month,4965764.0
Short Int Prev Month,5958101.0
Short Int Pct of Float,0.044015700000000005
Days to Cover,8.10574
Float,112.739
Shares Outstanding,125.6425
Institutions Holding Shares,422.0
FCF Growth 5yr,0.4454083707298777
"Price/Earnings (TTM, GAAP)",1811.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7342000000000001
Operating Profit Margin (TTM),0.10039999999999999
Net Profit Margin (TTM),0.0053
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5265
EPS Growth (TTM),1.3419
Revenue Growth (MRQ),0.052300000000000006
Revenue Growth (TTM),0.1288
Return On Equity (TTM),0.003
Return On Assets (TTM),0.0012
Return On Investment (TTM),0.0012
Revenue Per Employee (TTM),1272039.0
Total Debt/Total Capital (MRQ),0.5811999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),2.52
Interest Coverage (MRQ),1.01
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2018-05-16 00:00:00
researchTeam since,2022-04-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
