,IRDM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1811.27,7.61,Valuation,238.011826544021
Price/Sales (TTM),9.64,2.74,Valuation,3.5182481751824817
Price/Book (MRQ),5.75,1.85,Valuation,3.108108108108108
"PEG Ratio (TTM, GAAP)",,0.04,Valuation,
Gross Profit Margin (TTM),0.7342000000000001,0.5695,Profitability,1.2892010535557508
Operating Profit Margin (TTM),0.10039999999999999,0.0719,Profitability,1.3963838664812236
Net Profit Margin (TTM),0.0053,0.0529,Profitability,0.1001890359168242
Annual Dividend Yield,,0.0579,Dividend,
Dividend Change %,,0.010700000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0122,Dividend,
EPS Growth (MRQ),-0.5265,0.1478,Gowth rates,-3.5622462787550746
EPS Growth (TTM),1.3419,2.0171,Gowth rates,0.6652620098160726
Revenue Growth (MRQ),0.052300000000000006,0.0105,Gowth rates,4.980952380952381
Revenue Growth (TTM),0.1288,-0.0425,Gowth rates,-3.0305882352941174
Return On Equity (TTM),0.003,0.1605,Effectiveness,0.018691588785046728
Return On Assets (TTM),0.0012,0.0242,Effectiveness,0.04958677685950413
Return On Investment (TTM),0.0012,0.0487,Effectiveness,0.02464065708418891
Revenue Per Employee (TTM),1272039.0,880084.0,Effectiveness,1.4453608973688876
Total Debt/Total Capital (MRQ),0.5811999999999999,0.5642,Financial strength,1.030131159163417
Change in Debt/Total Capital Quarter over Quarter,0.0004,-0.0006,Financial strength,-0.6666666666666667
Quick Ratio (MRQ),2.52,0.68,Financial strength,3.705882352941176
Interest Coverage (MRQ),1.01,6.5,Financial strength,0.1553846153846154
