,GRPN
% Above Low,0.32280000000000003
% Held by Institutions,0.5490999999999999
52-Wk Range,['6.35 - 31.15']
Annual Dividend $,
Annual Dividend %,
Ask,8.65
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.9
Bid,8.08
Bid Size,200.0
Closing Price,8.4
Day Change $,0.26
Day Change %,0.0319
Day High,8.44
Day Low,8.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.26
Ex-dividend Date,No dividend
Historical Volatility,0.907
Last (size),50.0
Last (time),1:00p ET 11/25/22
Market Cap,255.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.14
Short Interest,0.2786
Today's Open,8.06
Volume,278214.0
Volume 10-day Avg,1044078.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-3.216216216216216
Growth 1yr High Est,-2.16260162601626
Growth 1yr Consensus Est,-2.6894089211162377
Growth 2yr Low Est,-2.1223357503845306
Growth 2yr High Est,-2.08130081300813
Growth 2yr Consensus Est,-2.10181828169633
Growth 5yr Low Est,-2.1223357503845306
Growth 5yr High Est,-2.08130081300813
Growth 5yr Consensus Est,-2.10181828169633
Growth 5yr Actual/Est,-1.8708530631387694
Growth 3yr Historic,-0.8307278742762614
Price/Earnings (TTM),
Price/Sales (TTM),0.37929
Price/Book (MRQ),2.63721
Price/Cash Flow (TTM),
5yr Low,6.35
5yr High,118.6
5yr Avg Return,-0.3325666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.20333189999999998
Dividend Growth 5yr,
Short Int Current Month,5324457.0
Short Int Prev Month,4833657.0
Short Int Pct of Float,0.27856359999999997
Days to Cover,3.28533
Float,19.17416
Shares Outstanding,30.43738
Institutions Holding Shares,160.0
FCF Growth 5yr,0.11724662956205822
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.873
Operating Profit Margin (TTM),-0.19690000000000002
Net Profit Margin (TTM),-0.2223
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.38920000000000005
EPS Growth (TTM),-2.6487000000000003
Revenue Growth (MRQ),-0.0576
Revenue Growth (TTM),-0.3799
Return On Equity (TTM),-1.2426000000000001
Return On Assets (TTM),-0.1516
Return On Investment (TTM),-0.3542
Revenue Per Employee (TTM),183425.0
Total Debt/Total Capital (MRQ),0.775
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),
Interest Coverage (MRQ),-1.33
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-06-15 00:00:00
researchTeam since,2018-08-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
marketEdge opinion since,
