,GRPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),0.38,7.6,Valuation,0.05
Price/Book (MRQ),2.64,10.0,Valuation,0.264
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.873,0.4335,Profitability,2.013840830449827
Operating Profit Margin (TTM),-0.19690000000000002,0.0117,Profitability,-16.82905982905983
Net Profit Margin (TTM),-0.2223,-0.0141,Profitability,15.76595744680851
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.38920000000000005,-0.26239999999999997,Gowth rates,-1.4832317073170735
EPS Growth (TTM),-2.6487000000000003,-0.6279,Gowth rates,4.218346870520784
Revenue Growth (MRQ),-0.0576,0.1585,Gowth rates,-0.3634069400630915
Revenue Growth (TTM),-0.3799,0.12369999999999999,Gowth rates,-3.0711398544866615
Return On Equity (TTM),-1.2426000000000001,0.0635,Effectiveness,-19.568503937007875
Return On Assets (TTM),-0.1516,-0.1317,Effectiveness,1.1511009870918754
Return On Investment (TTM),-0.3542,0.0197,Effectiveness,-17.979695431472084
Revenue Per Employee (TTM),183425.0,354479.0,Effectiveness,0.5174495527238567
Total Debt/Total Capital (MRQ),0.775,0.39840000000000003,Financial strength,1.945281124497992
Change in Debt/Total Capital Quarter over Quarter,0.0027,0.4575,Financial strength,0.005901639344262295
Quick Ratio (MRQ),,0.68,Financial strength,
Interest Coverage (MRQ),-1.33,-0.6,Financial strength,2.216666666666667
