,BAC
% Above Low,0.2863
% Held by Institutions,0.6904
52-Wk Range,['29.31 - 50.11']
Annual Dividend $,0.88
Annual Dividend %,0.0233
Ask,37.72
Ask Size,300.0
B/A Ratio,9.666666666666666
B/A Size,2900x300
Beta,1.4
Bid,37.7
Bid Size,2900.0
Closing Price,37.7
Day Change $,0.09
Day Change %,0.0024
Day High,37.87
Day Low,37.56
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.16
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.324
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,302.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.93
Prev Close,37.61
Short Interest,0.0092
Today's Open,37.72
Volume,16118501.0
Volume 10-day Avg,29913834.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.06325301204819278
Growth 1yr High Est,-0.0730337078651686
Growth 1yr Consensus Est,-0.0681433599566807
Growth 2yr Low Est,-0.07342714911091308
Growth 2yr High Est,0.09984678243105216
Growth 2yr Consensus Est,0.01320981666006954
Growth 5yr Low Est,0.12568436815407807
Growth 5yr High Est,0.172449354652141
Growth 5yr Consensus Est,0.14906686140310954
Growth 5yr Actual/Est,0.16198736312706902
Growth 3yr Historic,0.14727272727272725
Price/Earnings (TTM),11.92623
Price/Sales (TTM),3.27046
Price/Book (MRQ),1.25846
Price/Cash Flow (TTM),10.85786
5yr Low,17.95
5yr High,50.11
5yr Avg Return,0.09230000000000002
EPS Growth 5yr,0.19127159999999999
Revenue Growth 5yr,-0.013626000000000001
Dividend Growth 5yr,0.2555411
Short Int Current Month,73606657.0
Short Int Prev Month,79277165.0
Short Int Pct of Float,0.0091912
Days to Cover,1.92739
Float,8011.54
Shares Outstanding,8022.432
Institutions Holding Shares,3234.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",11.93
"PEG Ratio (TTM, GAAP)",2.01
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.334
Net Profit Margin (TTM),0.2964
Annual Dividend Yield,0.0233
Dividend Change %,0.0833
"Dividend Growth Rate, 3 Years",0.1304
EPS Growth (MRQ),0.1094
EPS Growth (TTM),-0.05280000000000001
Revenue Growth (MRQ),0.3103
Revenue Growth (TTM),0.2891
Return On Equity (TTM),0.1058
Return On Assets (TTM),0.0089
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
cfra since,2021-11-22 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-08-26 00:00:00
