,PRTS
% Above Low,0.3525
% Held by Institutions,0.7809
52-Wk Range,['3.92 - 13.96']
Annual Dividend $,
Annual Dividend %,
Ask,5.3
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,2.3
Bid,5.29
Bid Size,500.0
Day Change $,-0.045
Day Change %,-0.0084
Day High,5.41
Day Low,5.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.0
Ex-dividend Date,No dividend
Historical Volatility,0.75
Last (size),100.0
Last (time),11:37a ET 11/28/22
Market Cap,288.9M
"P/E Ratio (TTM, GAAP)",1900.36
Prev Close,5.34
Price,5.3
Short Interest,0.0969
Today's Open,5.28
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8695652173913043
Growth 1yr High Est,-1.0
Growth 1yr Consensus Est,-0.9347826086956521
Growth 2yr Low Est,0.23188405797101458
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,0.23188405797101458
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,0.036235955056179825
Growth 3yr Historic,0.7612359550561798
Price/Earnings (TTM),1900.356
Price/Sales (TTM),0.45147
Price/Book (MRQ),2.48822
Price/Cash Flow (TTM),22.77222
5yr Low,0.88
5yr High,23.26
5yr Avg Return,0.8139500000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.1393808
Dividend Growth 5yr,
Short Int Current Month,4867885.0
Short Int Prev Month,6223055.0
Short Int Pct of Float,0.096897
Days to Cover,3.06672
Float,50.24163
Shares Outstanding,54.5595
Institutions Holding Shares,181.0
FCF Growth 5yr,-0.853905523470924
"Price/Earnings (TTM, GAAP)",1900.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35119999999999996
Operating Profit Margin (TTM),0.0023
Net Profit Margin (TTM),0.0004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.2417
EPS Growth (TTM),0.9784999999999999
Revenue Growth (MRQ),-0.06480000000000001
Revenue Growth (TTM),0.1444
Return On Equity (TTM),0.0024
Return On Assets (TTM),0.001
Return On Investment (TTM),0.0017000000000000001
Revenue Per Employee (TTM),422064.0
Total Debt/Total Capital (MRQ),0.18670000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0043
Quick Ratio (MRQ),0.32
Interest Coverage (MRQ),-1.34
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-03-10 00:00:00
theStreet since,2022-01-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
