,DVN
% Below High,0.1392
% Held by Institutions,0.7634000000000001
52-Wk Range,['35.55 - 79.40']
Annual Dividend $,5.17
Annual Dividend %,0.0756
Ask,68.8
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,2.4
Bid,68.3
Bid Size,800.0
Closing Price,68.35
Day Change $,0.55
Day Change %,0.008100000000000001
Day High,69.1
Day Low,67.96
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",9.53
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.56
Last (size),57.0
Last (time),5:00p ET 11/25/22
Market Cap,44.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.17
Prev Close,67.8
Short Interest,0.0253
Today's Open,68.45
Volume,3520469.0
Volume 10-day Avg,9349167.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-49.588235294117645
Growth 1yr High Est,59.46666666666667
Growth 1yr Consensus Est,4.939215686274512
Growth 2yr Low Est,-24.898839196695626
Growth 2yr High Est,29.847997059904447
Growth 2yr Consensus Est,2.4745789316044107
Growth 5yr Low Est,-16.59922613113042
Growth 5yr High Est,19.898664706602965
Growth 5yr Consensus Est,1.6497192877362739
Growth 5yr Actual/Est,-9.949557646476912
Growth 3yr Historic,-10.32638888888889
Price/Earnings (TTM),7.16849
Price/Sales (TTM),2.33403
Price/Book (MRQ),4.11118
Price/Cash Flow (TTM),5.24418
5yr Low,4.7
5yr High,79.4
5yr Avg Return,0.2925
EPS Growth 5yr,
Revenue Growth 5yr,0.0344595
Dividend Growth 5yr,0.3622079
Short Int Current Month,16384673.0
Short Int Prev Month,19684847.0
Short Int Pct of Float,0.025297999999999998
Days to Cover,1.29162
Float,647.7078
Shares Outstanding,653.7
Institutions Holding Shares,1547.0
FCF Growth 5yr,0.23173417412723885
"Price/Earnings (TTM, GAAP)",7.17
"PEG Ratio (TTM, GAAP)",0.23
Gross Profit Margin (TTM),0.5559000000000001
Operating Profit Margin (TTM),0.4228
Net Profit Margin (TTM),0.3315
Annual Dividend Yield,0.0756
Dividend Change %,3.6905
"Dividend Growth Rate, 3 Years",0.8726
EPS Growth (MRQ),-0.0158
EPS Growth (TTM),4.539
Revenue Growth (MRQ),-0.0345
Revenue Growth (TTM),1.0778
Return On Equity (TTM),0.6315
Return On Assets (TTM),0.28440000000000004
Return On Investment (TTM),0.3395
Revenue Per Employee (TTM),11964380.0
Total Debt/Total Capital (MRQ),0.3787
Change in Debt/Total Capital Quarter over Quarter,-0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),34.14
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
cfra since,2022-05-03 00:00:00
ford since,2022-10-21 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2021-11-03 00:00:00
