,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.6,46.54,35.39,26.98,45.56,79.4,,,,,
low,36.57,20.37,19.72,4.7,15.71,42.87,,,,,
change,0.12710000000000002,-0.4606,0.1837,-0.3968,1.7531,0.5485,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,2271.0,2625.0,3457.0,1310.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,1512.0,1953.0,2314.0,2022.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-7.0,-7.0,-8.0,-7.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,1505.0,1946.0,2306.0,2015.0,Balance Sheet
Other Receivables,,,,,,,121.0,56.0,42.0,46.0,Balance Sheet
"Total Receivables, Net",,,,,,,1626.0,2002.0,2348.0,2061.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,352.0,346.0,546.0,638.0,Balance Sheet
Total Current Assets,,,,,,,4249.0,4973.0,6351.0,4009.0,Balance Sheet
Natural Resources,,,,,,,39132.0,39625.0,40153.0,43382.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,2374.0,2421.0,2460.0,2480.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,41506.0,42046.0,42613.0,45862.0,Balance Sheet
Accumulated Depreciation,,,,,,,-26263.0,-26743.0,-27264.0,-27837.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,15243.0,15303.0,15349.0,18025.0,Balance Sheet
"Goodwill, Net",,,,,,,753.0,753.0,753.0,753.0,Balance Sheet
Long Term Investments,,,,,,,402.0,416.0,423.0,431.0,Balance Sheet
Other Long Term Assets,,,,,,,378.0,333.0,318.0,339.0,Balance Sheet
Total Assets,,,,,,,21025.0,21778.0,23194.0,23557.0,Balance Sheet
Accounts Payable,,,,,,,500.0,576.0,668.0,761.0,Balance Sheet
Accrued Expenses,,,,,,,18.0,15.0,18.0,17.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,8.0,8.0,8.0,263.0,Balance Sheet
Other Payables,,,,,,,1456.0,1672.0,2108.0,1810.0,Balance Sheet
Other Current Liabilities,,,,,,,1105.0,1483.0,1292.0,609.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,2561.0,3155.0,3400.0,2419.0,Balance Sheet
Total Current Liabilities,,,,,,,3087.0,3754.0,4094.0,3460.0,Balance Sheet
Long Term Debt,,,,,,,6482.0,6471.0,6461.0,6196.0,Balance Sheet
Capital Lease Obligations,,,,,,,247.0,247.0,248.0,249.0,Balance Sheet
Total Long Term Debt,,,,,,,6729.0,6718.0,6709.0,6445.0,Balance Sheet
Total Debt,,,,,,,6737.0,6726.0,6717.0,6708.0,Balance Sheet
Deferred Income Tax,,,,,,,287.0,450.0,753.0,1196.0,Balance Sheet
Minority Interest,,,,,,,137.0,135.0,136.0,134.0,Balance Sheet
Reserves,,,,,,,468.0,443.0,452.0,498.0,Balance Sheet
Other LT Liabilities,,,,,,,1055.0,978.0,960.0,951.0,Balance Sheet
"Other Liabilities, Total",,,,,,,1523.0,1421.0,1412.0,1449.0,Balance Sheet
Total Liabilities,,,,,,,11763.0,12478.0,13104.0,12684.0,Balance Sheet
Common Stock,,,,,,,66.0,66.0,66.0,65.0,Balance Sheet
Additional Paid-In Capital,,,,,,,7636.0,7371.0,7060.0,6956.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,1692.0,2013.0,3107.0,3981.0,Balance Sheet
Treasury Stock - Common,,,,,,,,-19.0,-13.0,,Balance Sheet
Cum. Trans. Adjustment,,,,,,,0.0,,,,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-132.0,-131.0,-129.0,-128.0,Balance Sheet
Other Comprehensive Income,,,,,,,,,-1.0,-1.0,Balance Sheet
"Other Equity, Total",,,,,,,-132.0,-131.0,-130.0,-129.0,Balance Sheet
Total Equity,,,,,,,9262.0,9300.0,10090.0,10873.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,21025.0,21778.0,23194.0,23557.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,663.0,663.0,656.0,654.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,4273.0,3812.0,5626.0,5432.0,Income Statement
"Cost of Revenue, Total",,,,,,,1871.0,1942.0,2429.0,2260.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,95.0,94.0,84.0,95.0,Income Statement
Research & Development,,,,,,,5.0,2.0,10.0,4.0,Income Statement
Depreciation/Amortization,,,,,,,577.0,489.0,528.0,581.0,Income Statement
Restructuring Charge,,,,,,,28.0,0.0,0.0,0.0,Income Statement
Impair-Assets Held for Use,,,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,20.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,-21.0,19.0,-14.0,0.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,-49.0,-1.0,-14.0,0.0,Income Statement
Total Operating Expense,,,,,,,2527.0,2546.0,3037.0,2940.0,Income Statement
Total Operating Income,,,,,,,1746.0,1266.0,2589.0,2492.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-92.0,-92.0,-93.0,-92.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,0.0,1.0,2.0,19.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,8.0,87.0,-3.0,46.0,Income Statement
"Other, Net",,,,,,,8.0,87.0,-3.0,46.0,Income Statement
Income Before Tax,,,,,,,1662.0,1262.0,2495.0,2465.0,Income Statement
Income Tax - Total,,,,,,,150.0,267.0,557.0,565.0,Income Statement
Income After Tax,,,,,,,1512.0,995.0,1938.0,1900.0,Income Statement
Minority Interest,,,,,,,-6.0,-6.0,-6.0,-7.0,Income Statement
Net Inc Before Extra Items,,,,,,,1506.0,989.0,1932.0,1893.0,Income Statement
Total Extraordinary Items,,,,,,,0.0,,,,Income Statement
Total Net Income,,,,,,,1506.0,989.0,1932.0,1893.0,Income Statement
Total Adjust to Net Income,,,,,,,-19.0,-16.0,-17.0,-17.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,1487.0,973.0,1915.0,1876.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,1487.0,973.0,1915.0,1876.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,660.0,656.0,652.0,649.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,2.25,1.48,2.94,2.89,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,2.25,1.48,2.94,2.89,Income Statement
Diluted Weighted Average Shares,,,,,,,662.0,658.0,654.0,651.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,2.25,1.48,2.93,2.88,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,2.25,1.48,2.93,2.88,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,1.64,1.0,1.27,0.18,Income Statement
Gross Divid - Common Stock,,,,,,,564.0,668.0,838.0,1019.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,92.0,92.0,93.0,92.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,577.0,489.0,528.0,581.0,Income Statement
Total Special Items,,,,,,,-21.0,19.0,-14.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,,1641.0,1281.0,2481.0,2465.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,-2.0,4.0,-3.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,148.0,271.0,554.0,565.0,Income Statement
Normalized Income After Tax,,,,,,,1493.0,1010.0,1927.0,1900.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,1468.0,988.0,1904.0,1876.0,Income Statement
Basic Normalized EPS,,,,,,,2.22,1.51,2.92,2.89,Income Statement
Diluted Normalized EPS,,,,,,,2.22,1.5,2.91,2.88,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,2833.0,995.0,2933.0,4833.0,Cash Flow
Depreciation/Depletion,,,,,,,2158.0,489.0,1017.0,1598.0,Cash Flow
Deferred Taxes,,,,,,,49.0,164.0,469.0,914.0,Cash Flow
Discontinued Operations,,,,,,,0.0,,,,Cash Flow
Unusual Items,,,,,,,1350.0,683.0,846.0,600.0,Cash Flow
Other Non-Cash Items,,,,,,,-1375.0,-351.0,-805.0,-1146.0,Cash Flow
Non-Cash Items,,,,,,,-25.0,332.0,41.0,-546.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,-116.0,-23.0,110.0,363.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,404.0,100.0,185.0,285.0,Cash Flow
Accounts Receivable,,,,,,,-526.0,-457.0,-803.0,-439.0,Cash Flow
Other Assets,,,,,,,30.0,130.0,54.0,-21.0,Cash Flow
Accounts Payable,,,,,,,539.0,247.0,787.0,474.0,Cash Flow
Changes in Working Capital,,,,,,,-128.0,-143.0,55.0,-180.0,Cash Flow
Total Cash from Operations,,,,,,,4887.0,1837.0,4515.0,6619.0,Cash Flow
Capital Expenditures,,,,,,,-2007.0,-538.0,-1211.0,-4304.0,Cash Flow
Sale of Business,,,,,,,344.0,0.0,0.0,0.0,Cash Flow
Sale of Fixed Assets,,,,,,,79.0,26.0,35.0,39.0,Cash Flow
Sale/Maturity of Investment,,,,,,,35.0,8.0,23.0,30.0,Cash Flow
Purchase of Investments,,,,,,,-25.0,-22.0,-43.0,-59.0,Cash Flow
Other Investing Cash Flow,,,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,433.0,12.0,15.0,10.0,Cash Flow
Total Cash from Investing,,,,,,,-1574.0,-526.0,-1196.0,-4294.0,Cash Flow
Financing Cash Flow Items,,,,,,,-86.0,-81.0,-98.0,-108.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-1315.0,-667.0,-1497.0,-2504.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-589.0,-211.0,-535.0,-661.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,-1302.0,0.0,0.0,0.0,Cash Flow
Total Cash From Financing,,,,,,,-3292.0,-959.0,-2130.0,-3273.0,Cash Flow
Foreign Exchange Effects,,,,,,,1.0,2.0,-3.0,-13.0,Cash Flow
Net Change in Cash,,,,,,,34.0,354.0,1186.0,-961.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,2237.0,2271.0,2271.0,2271.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,2271.0,2625.0,3457.0,1310.0,Cash Flow
"Depreciation, Supplemental",,,,,,,2158.0,489.0,1017.0,1598.0,Cash Flow
Free Cash Flow,,,,,,,2880.0,1299.0,3304.0,2315.0,
FCF Growth,,,,,,,,-0.5489583333333333,1.5434949961508853,-0.2993341404358354,
