,SWI
% Above Low,0.15380000000000002
% Held by Institutions,0.9793000000000001
52-Wk Range,['7.51 - 15.14']
Annual Dividend $,
Annual Dividend %,
Ask,8.66
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.0
Bid,8.66
Bid Size,500.0
Day Change $,0.115
Day Change %,0.013500000000000002
Day High,8.77
Day Low,8.45
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.85
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),100.0
Last (time),3:43p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,8.55
Price,8.67
Short Interest,0.051100000000000007
Today's Open,8.45
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,-0.11702127659574468
Growth 1yr High Est,-0.11111111111111105
Growth 1yr Consensus Est,-0.11406619385342787
Growth 2yr Low Est,-0.10067931299666749
Growth 2yr High Est,0.05239898989899
Growth 2yr Consensus Est,-0.024140161548838746
Growth 5yr Low Est,-0.013754290644675232
Growth 5yr High Est,0.07084235209235215
Growth 5yr Consensus Est,0.02854403072383846
Growth 5yr Actual/Est,-0.10669563279857391
Growth 3yr Historic,-0.057308377896613166
Price/Earnings (TTM),
Price/Sales (TTM),1.92249
Price/Book (MRQ),1.06073
Price/Cash Flow (TTM),
5yr Low,7.51
5yr High,48.68
5yr Avg Return,-0.16996
EPS Growth 5yr,
Revenue Growth 5yr,0.088902
Dividend Growth 5yr,
Short Int Current Month,2083311.0
Short Int Prev Month,2754440.0
Short Int Pct of Float,0.0510658
Days to Cover,5.72453
Float,40.76544
Shares Outstanding,161.6722
Institutions Holding Shares,179.0
FCF Growth 5yr,0.16122661897309787
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8169
Operating Profit Margin (TTM),-1.1933
Net Profit Margin (TTM),-1.3086000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5316
EPS Growth (TTM),-13.009
Revenue Growth (MRQ),0.0191
Revenue Growth (TTM),0.0022
Return On Equity (TTM),-0.5194
Return On Assets (TTM),-0.22640000000000002
Return On Investment (TTM),-0.2518
Revenue Per Employee (TTM),334893.0
Total Debt/Total Capital (MRQ),0.5492
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.18
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-22 00:00:00
theStreet since,2022-02-22 00:00:00
ford since,2022-04-08 00:00:00
cfra since,
marketEdge opinion since,
