,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,38.08,42.44,48.68,37.38,14.75,,,,,
low,24.5,25.32,23.0,13.55,7.51,,,,,
change,-0.09609999999999999,0.37,-0.20440000000000003,-0.5267000000000001,-0.3926,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,732.0,751.0,722.0,442.0,Balance Sheet
Short Term Investments,,,,,,,,56.0,51.0,Balance Sheet
Cash and Short Term Invs,,,,,,732.0,751.0,778.0,493.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,96.0,99.0,84.0,94.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,0.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,95.0,98.0,84.0,93.0,Balance Sheet
Other Receivables,,,,,,1.0,1.0,1.0,1.0,Balance Sheet
"Total Receivables, Net",,,,,,96.0,100.0,85.0,94.0,Balance Sheet
Prepaid Expenses,,,,,,31.0,23.0,23.0,49.0,Balance Sheet
Total Current Assets,,,,,,859.0,873.0,886.0,635.0,Balance Sheet
Buildings,,,,,,26.0,,,,Balance Sheet
Machinery/Equipment,,,,,,28.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,,,80.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,134.0,,,,Balance Sheet
Accumulated Depreciation,,,,,,-30.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,104.0,99.0,95.0,91.0,Balance Sheet
"Goodwill, Net",,,,,,3308.0,3299.0,2642.0,2328.0,Balance Sheet
Intangibles - Gross,,,,,,1401.0,,,,Balance Sheet
Accum. Intangible Amort.,,,,,,-1141.0,,,,Balance Sheet
Intangibles - Net,,,,,,343.0,312.0,282.0,256.0,Balance Sheet
Other Long Term Assets,,,,,,34.0,36.0,40.0,43.0,Balance Sheet
Total Assets,,,,,,4792.0,4762.0,4079.0,3479.0,Balance Sheet
Accounts Payable,,,,,,7.0,7.0,8.0,10.0,Balance Sheet
Accrued Expenses,,,,,,56.0,48.0,53.0,75.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,20.0,20.0,20.0,20.0,Balance Sheet
Customer Advances,,,,,,328.0,329.0,315.0,313.0,Balance Sheet
Income Taxes Payable,,,,,,3.0,6.0,17.0,15.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,331.0,336.0,332.0,328.0,Balance Sheet
Total Current Liabilities,,,,,,414.0,411.0,412.0,433.0,Balance Sheet
Total Long Term Debt,,,,,,1871.0,1868.0,1865.0,1564.0,Balance Sheet
Total Debt,,,,,,1891.0,1888.0,1885.0,1584.0,Balance Sheet
Deferred Income Tax,,,,,,17.0,11.0,8.0,7.0,Balance Sheet
"Other Liabilities, Total",,,,,,203.0,195.0,176.0,173.0,Balance Sheet
Total Liabilities,,,,,,2504.0,2484.0,2461.0,2178.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,0.0,,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,2567.0,2578.0,2594.0,2613.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-280.0,-285.0,-907.0,-1199.0,Balance Sheet
"Other Equity, Total",,,,,,1.0,-16.0,-69.0,-113.0,Balance Sheet
Total Equity,,,,,,2288.0,2277.0,1618.0,1300.0,Balance Sheet
