,KNBE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",283.27,54.08,Valuation,5.237980769230769
Price/Sales (TTM),14.02,9.39,Valuation,1.49307774227902
Price/Book (MRQ),17.6,12.63,Valuation,1.393507521773555
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.8647,0.7206,Profitability,1.1999722453510964
Operating Profit Margin (TTM),0.054900000000000004,0.2172,Profitability,0.2527624309392265
Net Profit Margin (TTM),0.050199999999999995,0.1553,Profitability,0.32324533161622665
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.9450000000000001,-0.0752,Gowth rates,-12.566489361702128
EPS Growth (TTM),1.9247,-0.2824,Gowth rates,-6.815509915014165
Revenue Growth (MRQ),0.06280000000000001,0.15560000000000002,Gowth rates,0.40359897172236503
Revenue Growth (TTM),0.3741,0.1906,Gowth rates,1.9627492130115425
Return On Equity (TTM),0.0745,0.2189,Effectiveness,0.34033805390589306
Return On Assets (TTM),0.028399999999999998,0.10740000000000001,Effectiveness,0.26443202979515823
Return On Investment (TTM),0.050499999999999996,0.1387,Effectiveness,0.36409516943042536
Revenue Per Employee (TTM),227627.0,667721.0,Effectiveness,0.3409013644920558
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
