,KNBE
% Below High,0.0496
% Held by Institutions,0.7526999999999999
52-Wk Range,['13.78 - 26.00']
Annual Dividend $,
Annual Dividend %,
Ask,24.96
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,24.71
Bid Size,100.0
Closing Price,24.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.09
Ex-dividend Date,No dividend
Historical Volatility,0.66
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,4.4B
"P/E Ratio (TTM, GAAP)",283.27
Prev Close,24.71
Short Interest,0.0371
Today's Open,
Volume,423354.0
Volume 10-day Avg,1042995.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.375
Growth 2yr High Est,0.34615384615384603
Growth 2yr Consensus Est,0.360576923076923
Growth 5yr Low Est,0.375
Growth 5yr High Est,0.34615384615384603
Growth 5yr Consensus Est,0.360576923076923
Growth 5yr Actual/Est,0.6136363636363636
Growth 3yr Historic,0.0
Price/Earnings (TTM),283.2741
Price/Sales (TTM),14.02175
Price/Book (MRQ),17.59938
Price/Cash Flow (TTM),140.095
5yr Low,13.78
5yr High,36.67
5yr Avg Return,0.10725
Short Int Current Month,2992122.0
Short Int Prev Month,3054773.0
Short Int Pct of Float,0.0370556
Days to Cover,2.0424
Float,82.62182
Shares Outstanding,176.4425
Institutions Holding Shares,236.0
FCF Growth 5yr,0.2878095211428629
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",283.27
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8647
Operating Profit Margin (TTM),0.054900000000000004
Net Profit Margin (TTM),0.050199999999999995
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9450000000000001
EPS Growth (TTM),1.9247
Revenue Growth (MRQ),0.06280000000000001
Revenue Growth (TTM),0.3741
Return On Equity (TTM),0.0745
Return On Assets (TTM),0.028399999999999998
Return On Investment (TTM),0.050499999999999996
Revenue Per Employee (TTM),227627.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-13 00:00:00
theStreet since,2022-10-13 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
