,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,36.67,26.0,,,,,
low,16.77,13.78,,,,,
change,0.1499,0.0646,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,274.0,298.0,315.0,344.0,Balance Sheet
"Trade Accts Recvble, Gross",,,55.0,53.0,63.0,65.0,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,0.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,54.0,53.0,62.0,64.0,Balance Sheet
Prepaid Expenses,,,11.0,13.0,18.0,16.0,Balance Sheet
"Other Curr. Assets, Total",,,18.0,19.0,19.0,20.0,Balance Sheet
Total Current Assets,,,356.0,382.0,415.0,443.0,Balance Sheet
Buildings,,,9.0,9.0,10.0,10.0,Balance Sheet
Machinery/Equipment,,,7.0,7.0,7.0,9.0,Balance Sheet
Other Prop./Plant/Equip.,,,15.0,17.0,16.0,16.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,31.0,33.0,34.0,35.0,Balance Sheet
Accumulated Depreciation,,,-9.0,-9.0,-10.0,-11.0,Balance Sheet
Prop./Plant/Equip. - Net,,,22.0,24.0,24.0,24.0,Balance Sheet
"Goodwill, Net",,,89.0,90.0,88.0,88.0,Balance Sheet
Intangibles - Gross,,,63.0,65.0,71.0,74.0,Balance Sheet
Accum. Intangible Amort.,,,-28.0,-31.0,-33.0,-36.0,Balance Sheet
Intangibles - Net,,,35.0,35.0,38.0,39.0,Balance Sheet
Other Long Term Assets,,,1.0,1.0,3.0,4.0,Balance Sheet
Total Assets,,,538.0,568.0,606.0,637.0,Balance Sheet
Accounts Payable,,,6.0,4.0,5.0,5.0,Balance Sheet
Accrued Expenses,,,30.0,32.0,33.0,36.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,184.0,200.0,216.0,228.0,Balance Sheet
Other Current Liabilities,,,5.0,5.0,5.0,5.0,Balance Sheet
"Other Curr. Lblts, Total",,,189.0,205.0,221.0,233.0,Balance Sheet
Total Current Liabilities,,,225.0,240.0,259.0,273.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,95.0,103.0,111.0,117.0,Balance Sheet
Total Liabilities,,,320.0,343.0,370.0,390.0,Balance Sheet
Redeemable Preferred Stock,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,392.0,398.0,408.0,413.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-173.0,-172.0,-168.0,-162.0,Balance Sheet
"Other Equity, Total",,,-1.0,-1.0,-3.0,-4.0,Balance Sheet
Total Equity,,,217.0,225.0,237.0,247.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,538.0,568.0,606.0,637.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,66.0,73.0,78.0,86.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,108.0,102.0,97.0,90.0,Balance Sheet
Ttl Comm. Shares Outs.,,,174.0,175.0,176.0,176.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,69307.0,75033.0,80762.0,85836.0,Income Statement
"Cost of Revenue, Total",,,9572.0,10145.0,10909.0,11437.0,Income Statement
Selling/Gen/Admin Expense,,,36004.0,44679.0,45697.0,49062.0,Income Statement
Labor & Related Expense,,,4680.0,4208.0,5474.0,4278.0,Income Statement
Advertising Expense,,,3900.0,4500.0,7100.0,6800.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,44584.0,53387.0,58271.0,60140.0,Income Statement
Research & Development,,,8029.0,8909.0,8764.0,9716.0,Income Statement
Total Operating Expense,,,62185.0,72441.0,77944.0,81293.0,Income Statement
Total Operating Income,,,7122.0,2592.0,2818.0,4543.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,-67.0,-86.0,-65.0,-65.0,Income Statement
"Other, Net",,,-585.0,-538.0,264.0,519.0,Income Statement
Income Before Tax,,,6486.0,1998.0,3520.0,6567.0,Income Statement
Income Tax - Total,,,2088.0,638.0,172.0,52.0,Income Statement
Income After Tax,,,4398.0,1360.0,3348.0,6515.0,Income Statement
Net Inc Before Extra Items,,,4398.0,1360.0,3348.0,6515.0,Income Statement
Total Net Income,,,4398.0,1360.0,3348.0,6515.0,Income Statement
Income Available to Common Excl. Extra. Items,,,4398.0,1360.0,3348.0,6515.0,Income Statement
Income Available to Common Incl. Extra. Items,,,4398.0,1360.0,3348.0,6515.0,Income Statement
Basic/Primary Weighted Average Shares,,,173526.0,174523.0,175293.0,175864.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,0.03,0.01,0.02,0.04,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,0.03,0.01,0.02,0.04,Income Statement
Diluted Weighted Average Shares,,,173526.0,174523.0,182221.0,182332.0,Income Statement
Diluted EPS Excl. Extra. Items,,,0.03,0.01,0.02,0.04,Income Statement
Diluted EPS Incl. Extra. Items,,,0.03,0.01,0.02,0.04,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Depreciat/Amort, Suppl",,,1100.0,1000.0,1100.0,1100.0,Income Statement
Total Special Items,,,1235.0,0.0,34.0,1538.0,Income Statement
Normalzd Income Before Tax,,,7721.0,1998.0,3554.0,8105.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,398.0,0.0,2.0,12.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,2486.0,638.0,174.0,64.0,Income Statement
Normalized Income After Tax,,,5235.0,1360.0,3380.0,8041.0,Income Statement
Normalzd Inc Avail to Common,,,5235.0,1360.0,3380.0,8041.0,Income Statement
Basic Normalized EPS,,,0.03,0.01,0.02,0.05,Income Statement
Diluted Normalized EPS,,,0.03,0.01,0.02,0.04,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-11845.0,1360.0,4708.0,11223.0,Cash Flow
Depreciation/Depletion,,,13639.0,3730.0,7655.0,11440.0,Cash Flow
Non-Cash Items,,,44062.0,8947.0,19522.0,28443.0,Cash Flow
