,STZ
% Below High,0.015600000000000001
% Held by Institutions,0.7118000000000001
52-Wk Range,['207.59 - 261.53']
Annual Dividend $,3.2
Annual Dividend %,0.0124
Ask,257.53
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,257.42
Bid Size,100.0
Day Change $,-0.04
Day Change %,-0.0002
Day High,258.8
Day Low,256.4
Dividend Pay Date,2022-11-18 00:00:00
"EPS (TTM, GAAP)",-0.1
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.23
Last (size),22.0
Last (time),3:37p ET 11/28/22
Market Cap,47.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",605.97
Prev Close,257.49
Price,257.45
Short Interest,0.0134
Today's Open,256.95
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.09165808444902157
Growth 1yr High Est,0.10361216730038025
Growth 1yr Consensus Est,0.09763512587470091
Growth 2yr Low Est,0.09677243845092587
Growth 2yr High Est,0.13535474859420393
Growth 2yr Consensus Est,0.1160635935225649
Growth 5yr Low Est,0.0801175661180451
Growth 5yr High Est,0.11460574656193856
Growth 5yr Consensus Est,0.09736165633999183
Growth 5yr Actual/Est,0.08622652470868958
Growth 3yr Historic,0.029067740502208395
Price/Earnings (TTM),605.9729
Price/Sales (TTM),5.03083
Price/Book (MRQ),5.05787
Price/Cash Flow (TTM),93.38983
5yr Low,104.28
5yr High,261.53
5yr Avg Return,0.040566666666666674
EPS Growth 5yr,
Revenue Growth 5yr,0.0379713
Dividend Growth 5yr,0.1369745
Short Int Current Month,2109393.0
Short Int Prev Month,1399046.0
Short Int Pct of Float,0.0133752
Days to Cover,1.94334
Float,157.7428
Shares Outstanding,184.4657
Institutions Holding Shares,1541.0
FCF Growth 5yr,0.1389057333195586
"Price/Earnings (TTM, GAAP)",605.97
"PEG Ratio (TTM, GAAP)",58.28
Gross Profit Margin (TTM),0.5235000000000001
Operating Profit Margin (TTM),0.3308
Net Profit Margin (TTM),0.0154
Annual Dividend Yield,0.0124
Dividend Change %,0.013300000000000001
"Dividend Growth Rate, 3 Years",0.0089
EPS Growth (MRQ),-4.3967
EPS Growth (TTM),-1.0345
Revenue Growth (MRQ),0.1235
Revenue Growth (TTM),0.0743
Return On Equity (TTM),0.0102
Return On Assets (TTM),0.0058
Return On Investment (TTM),0.006600000000000001
Revenue Per Employee (TTM),944140.0
Total Debt/Total Capital (MRQ),0.53
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.75
Interest Coverage (MRQ),0.45
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-21 00:00:00
cfra since,2022-01-06 00:00:00
ford since,2022-10-14 00:00:00
marketEdge opinion since,
