,AVID,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.18,22.87,Valuation,1.2321818976825536
Price/Sales (TTM),2.92,5.73,Valuation,0.5095986038394414
Price/Book (MRQ),,44.1,Valuation,
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.6619,0.4263,Profitability,1.55266244428806
Operating Profit Margin (TTM),0.12960000000000002,0.2867,Profitability,0.4520404604115801
Net Profit Margin (TTM),0.1075,0.23690000000000003,Profitability,0.4537779653862389
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),0.6454000000000001,0.0139,Gowth rates,46.431654676259
EPS Growth (TTM),0.38939999999999997,0.0891,Gowth rates,4.37037037037037
Revenue Growth (MRQ),0.0543,0.0784,Gowth rates,0.6926020408163266
Revenue Growth (TTM),0.0638,0.0893,Gowth rates,0.7144456886898095
Return On Equity (TTM),,1.7101,Effectiveness,
Return On Assets (TTM),0.1858,0.27030000000000004,Effectiveness,0.687384387717351
Return On Investment (TTM),0.5883,0.45,Effectiveness,1.3073333333333335
Revenue Per Employee (TTM),299201.0,2289443.0,Effectiveness,0.13068724576239724
Total Debt/Total Capital (MRQ),4.264200000000001,0.7151000000000001,Financial strength,5.96308208642148
Change in Debt/Total Capital Quarter over Quarter,0.0012,-0.0004,Financial strength,-2.9999999999999996
Quick Ratio (MRQ),0.73,0.84,Financial strength,0.8690476190476191
Interest Coverage (MRQ),5.2,317.99,Financial strength,0.01635271549419793
