,DENN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.42,114.03,Valuation,0.06507059545733579
Price/Sales (TTM),1.6,5.62,Valuation,0.2846975088967972
Price/Book (MRQ),,8.49,Valuation,
"PEG Ratio (TTM, GAAP)",1.09,0.53,Valuation,2.056603773584906
Gross Profit Margin (TTM),0.6154000000000001,0.4054,Profitability,1.518006906758757
Operating Profit Margin (TTM),0.23829999999999998,0.163,Profitability,1.4619631901840489
Net Profit Margin (TTM),0.2378,0.0779,Profitability,3.0526315789473686
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.2147,0.3309,Gowth rates,-0.6488365064974312
EPS Growth (TTM),1.9724000000000002,2.1359,Gowth rates,0.923451472447212
Revenue Growth (MRQ),0.0212,0.38439999999999996,Gowth rates,0.05515088449531738
Revenue Growth (TTM),0.19579999999999997,0.7695000000000001,Gowth rates,0.25445094217024034
Return On Equity (TTM),,0.19090000000000001,Effectiveness,
Return On Assets (TTM),0.23199999999999998,0.0758,Effectiveness,3.060686015831134
Return On Investment (TTM),0.2904,0.1005,Effectiveness,2.88955223880597
Revenue Per Employee (TTM),134309.0,285753.0,Effectiveness,0.4700178125863945
Total Debt/Total Capital (MRQ),1.1911,1.1596,Financial strength,1.0271645394963782
Change in Debt/Total Capital Quarter over Quarter,0.0024,0.002,Financial strength,1.2
Quick Ratio (MRQ),0.45,0.81,Financial strength,0.5555555555555556
Interest Coverage (MRQ),4.19,40.22,Financial strength,0.10417702635504725
