,DENN
% Above Low,0.4657
% Held by Institutions,0.8382999999999999
52-Wk Range,['8.46 - 16.97']
Annual Dividend $,
Annual Dividend %,
Ask,12.47
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,11.7
Bid Size,200.0
Closing Price,12.4
Day Change $,0.14
Day Change %,0.011399999999999999
Day High,12.47
Day Low,12.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.67
Ex-dividend Date,No dividend
Historical Volatility,0.438
Last (size),192.0
Last (time),12:59p ET 11/25/22
Market Cap,710.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.42
Prev Close,12.26
Short Interest,0.030899999999999997
Today's Open,12.2
Volume,434047.0
Volume 10-day Avg,830283.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.040000000000000036
Growth 1yr High Est,-0.054545454545454564
Growth 1yr Consensus Est,-0.0472727272727273
Growth 2yr Low Est,0.11541666666666661
Growth 2yr High Est,0.18426573426573417
Growth 2yr Consensus Est,0.1498412004662004
Growth 5yr Low Est,0.11541666666666661
Growth 5yr High Est,0.18426573426573417
Growth 5yr Consensus Est,0.1498412004662004
Growth 5yr Actual/Est,-1.5006277056277058
Growth 3yr Historic,-1.5806277056277058
Price/Earnings (TTM),7.41791
Price/Sales (TTM),1.60122
Price/Book (MRQ),
Price/Cash Flow (TTM),5.88888
5yr Low,4.5
5yr High,23.88
5yr Avg Return,0.01638333333333333
EPS Growth 5yr,0.3649504
Revenue Growth 5yr,-0.0471558
Dividend Growth 5yr,
Short Int Current Month,1704014.0
Short Int Prev Month,1851099.0
Short Int Pct of Float,0.030939499999999998
Days to Cover,2.08365
Float,54.89277
Shares Outstanding,57.23327
Institutions Holding Shares,203.0
FCF Growth 5yr,0.10808033394197676
"Price/Earnings (TTM, GAAP)",7.42
"PEG Ratio (TTM, GAAP)",1.09
Gross Profit Margin (TTM),0.6154000000000001
Operating Profit Margin (TTM),0.23829999999999998
Net Profit Margin (TTM),0.2378
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2147
EPS Growth (TTM),1.9724000000000002
Revenue Growth (MRQ),0.0212
Revenue Growth (TTM),0.19579999999999997
Return On Equity (TTM),
Return On Assets (TTM),0.23199999999999998
Return On Investment (TTM),0.2904
Revenue Per Employee (TTM),134309.0
Total Debt/Total Capital (MRQ),1.1911
Change in Debt/Total Capital Quarter over Quarter,0.0024
Quick Ratio (MRQ),0.45
Interest Coverage (MRQ),4.19
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-18 00:00:00
ford since,2022-11-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-02-17 00:00:00
