,FAST,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.14,17.46,Valuation,1.611683848797251
Price/Sales (TTM),4.4,2.11,Valuation,2.085308056872038
Price/Book (MRQ),9.48,6.17,Valuation,1.5364667747163696
"PEG Ratio (TTM, GAAP)",,0.31,Valuation,
Gross Profit Margin (TTM),0.4636,0.42710000000000004,Profitability,1.0854600796066494
Operating Profit Margin (TTM),0.20850000000000002,0.14730000000000001,Profitability,1.415478615071283
Net Profit Margin (TTM),0.1573,0.0835,Profitability,1.8838323353293411
Annual Dividend Yield,0.023700000000000002,0.0125,Dividend,1.8960000000000001
Dividend Change %,0.12,0.053099999999999994,Dividend,2.2598870056497176
"Dividend Growth Rate, 3 Years",0.133,0.0517,Dividend,2.5725338491295937
EPS Growth (MRQ),-0.0040999999999999995,0.4814,Gowth rates,-0.008516825924387203
EPS Growth (TTM),0.2053,0.5656,Gowth rates,0.362977369165488
Revenue Growth (MRQ),0.0134,0.1985,Gowth rates,0.06750629722921914
Revenue Growth (TTM),0.1679,0.2242,Gowth rates,0.7488849241748439
Return On Equity (TTM),0.3502,0.3129,Effectiveness,1.119207414509428
Return On Assets (TTM),0.24239999999999998,0.1319,Effectiveness,1.8377558756633814
Return On Investment (TTM),0.29050000000000004,0.17420000000000002,Effectiveness,1.6676234213547647
Revenue Per Employee (TTM),371094.0,1897425.0,Effectiveness,0.1955776908178189
Total Debt/Total Capital (MRQ),0.1494,0.4449,Financial strength,0.33580579905596764
Change in Debt/Total Capital Quarter over Quarter,0.0039000000000000003,0.0005,Financial strength,7.800000000000001
Quick Ratio (MRQ),1.89,1.09,Financial strength,1.7339449541284402
Interest Coverage (MRQ),97.23,26.1,Financial strength,3.725287356321839
