,FAST
% Above Low,0.1967
% Held by Institutions,0.7663
52-Wk Range,['43.73 - 64.75']
Annual Dividend $,1.24
Annual Dividend %,0.023700000000000002
Ask,53.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,51.6
Bid Size,100.0
Closing Price,52.33
Day Change $,-0.08
Day Change %,-0.0015
Day High,52.51
Day Low,52.21
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.86
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.289
Last (size),14300.0
Last (time),1:00p ET 11/25/22
Market Cap,30.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.14
Prev Close,52.41
Short Interest,0.021099999999999997
Today's Open,52.23
Volume,900281.0
Volume 10-day Avg,2857549.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.1858974358974359
Growth 1yr High Est,0.19496855345911945
Growth 1yr Consensus Est,0.19043299467827768
Growth 2yr Low Est,0.05781358281358279
Growth 2yr High Est,0.1501158556769282
Growth 2yr Consensus Est,0.1039647192452555
Growth 5yr Low Est,0.062470848794156125
Growth 5yr High Est,0.10791507069560696
Growth 5yr Consensus Est,0.08519295974488154
Growth 5yr Actual/Est,0.088782848241023
Growth 3yr Historic,0.03838391207081027
Price/Earnings (TTM),28.14273
Price/Sales (TTM),4.39673
Price/Book (MRQ),9.48129
Price/Cash Flow (TTM),24.01645
5yr Low,23.69
5yr High,64.75
5yr Avg Return,0.15808333333333333
EPS Growth 5yr,0.1316378
Revenue Growth 5yr,0.08693659999999999
Dividend Growth 5yr,0.1329568
Short Int Current Month,12057779.0
Short Int Prev Month,12539122.0
Short Int Pct of Float,0.0210919
Days to Cover,3.48421
Float,571.7441
Shares Outstanding,572.7599
Institutions Holding Shares,1306.0
FCF Growth 5yr,0.18575226888137197
"Price/Earnings (TTM, GAAP)",28.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4636
Operating Profit Margin (TTM),0.20850000000000002
Net Profit Margin (TTM),0.1573
Annual Dividend Yield,0.023700000000000002
Dividend Change %,0.12
"Dividend Growth Rate, 3 Years",0.133
EPS Growth (MRQ),-0.0040999999999999995
EPS Growth (TTM),0.2053
Revenue Growth (MRQ),0.0134
Revenue Growth (TTM),0.1679
Return On Equity (TTM),0.3502
Return On Assets (TTM),0.24239999999999998
Return On Investment (TTM),0.29050000000000004
Revenue Per Employee (TTM),371094.0
Total Debt/Total Capital (MRQ),0.1494
Change in Debt/Total Capital Quarter over Quarter,0.0039000000000000003
Quick Ratio (MRQ),1.89
Interest Coverage (MRQ),97.23
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2015-12-24 00:00:00
researchTeam since,2021-06-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-07-11 00:00:00
ford since,2022-07-15 00:00:00
marketEdge opinion since,
