,SHAK
% Above Low,0.2925
% Held by Institutions,0.892
52-Wk Range,['37.72 - 81.83']
Annual Dividend $,
Annual Dividend %,
Ask,48.78
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.5
Bid,48.73
Bid Size,200.0
Day Change $,-0.54
Day Change %,-0.011000000000000001
Day High,49.7
Day Low,48.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),100.0
Last (time),2:09p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,49.29
Price,48.75
Short Interest,0.0785
Today's Open,49.02
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.15217391304347827
Growth 2yr High Est,-1.6388888888888888
Growth 2yr Consensus Est,-0.7433574879227053
Growth 5yr Low Est,0.15217391304347827
Growth 5yr High Est,-1.6388888888888888
Growth 5yr Consensus Est,-0.7433574879227053
Growth 5yr Actual/Est,0.6299603174603174
Growth 3yr Historic,-0.6676587301587302
Price/Earnings (TTM),
Price/Sales (TTM),2.4012
Price/Book (MRQ),5.14885
Price/Cash Flow (TTM),47.26638
5yr Low,30.01
5yr High,138.38
5yr Avg Return,0.06891666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.22476569999999998
Dividend Growth 5yr,
Short Int Current Month,2923532.0
Short Int Prev Month,3364104.0
Short Int Pct of Float,0.0784617
Days to Cover,2.8996
Float,37.25908
Shares Outstanding,42.14945
Institutions Holding Shares,328.0
FCF Growth 5yr,0.16060361295967138
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4194
Operating Profit Margin (TTM),-0.0313
Net Profit Margin (TTM),-0.0292
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7016
EPS Growth (TTM),-0.22350000000000003
Revenue Growth (MRQ),-0.012700000000000001
Revenue Growth (TTM),0.2464
Return On Equity (TTM),-0.0563
Return On Assets (TTM),-0.0172
Return On Investment (TTM),-0.0192
Revenue Per Employee (TTM),89243.0
Total Debt/Total Capital (MRQ),0.369
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),2.51
Interest Coverage (MRQ),-176.42
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2021-04-09 00:00:00
theStreet since,2021-06-03 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-12-29 00:00:00
ford since,2022-08-05 00:00:00
marketEdge opinion since,
