,SHAK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,114.03,Valuation,
Price/Sales (TTM),2.4,5.62,Valuation,0.4270462633451957
Price/Book (MRQ),5.15,8.49,Valuation,0.6065959952885748
"PEG Ratio (TTM, GAAP)",,0.53,Valuation,
Gross Profit Margin (TTM),0.4194,0.4054,Profitability,1.0345337937839172
Operating Profit Margin (TTM),-0.0313,0.163,Profitability,-0.19202453987730062
Net Profit Margin (TTM),-0.0292,0.0779,Profitability,-0.37483953786906293
Annual Dividend Yield,,0.011200000000000002,Dividend,
Dividend Change %,,0.056100000000000004,Dividend,
"Dividend Growth Rate, 3 Years",,0.031000000000000003,Dividend,
EPS Growth (MRQ),-0.7016,0.3309,Gowth rates,-2.1202780296161983
EPS Growth (TTM),-0.22350000000000003,2.1359,Gowth rates,-0.10463973032445341
Revenue Growth (MRQ),-0.012700000000000001,0.38439999999999996,Gowth rates,-0.033038501560874095
Revenue Growth (TTM),0.2464,0.7695000000000001,Gowth rates,0.3202079272254711
Return On Equity (TTM),-0.0563,0.19090000000000001,Effectiveness,-0.29491880565741224
Return On Assets (TTM),-0.0172,0.0758,Effectiveness,-0.22691292875989444
Return On Investment (TTM),-0.0192,0.1005,Effectiveness,-0.19104477611940296
Revenue Per Employee (TTM),89243.0,285753.0,Effectiveness,0.3123081822413063
Total Debt/Total Capital (MRQ),0.369,1.1596,Financial strength,0.31821317695757156
Change in Debt/Total Capital Quarter over Quarter,-0.0004,0.002,Financial strength,-0.2
Quick Ratio (MRQ),2.51,0.81,Financial strength,3.098765432098765
Interest Coverage (MRQ),-176.42,40.22,Financial strength,-4.38637493784187
