,AMSWA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",46.08,54.08,Valuation,0.8520710059171598
Price/Sales (TTM),3.79,9.39,Valuation,0.4036208732694356
Price/Book (MRQ),3.88,12.63,Valuation,0.3072050673000791
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6015,0.7206,Profitability,0.8347210657785179
Operating Profit Margin (TTM),0.10800000000000001,0.2172,Profitability,0.49723756906077354
Net Profit Margin (TTM),0.0827,0.1553,Profitability,0.5325177076625885
Annual Dividend Yield,0.0301,0.006999999999999999,Dividend,4.3
Dividend Change %,0.0,0.07940000000000001,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0703,Dividend,0.0
EPS Growth (MRQ),-0.0768,-0.0752,Gowth rates,1.0212765957446808
EPS Growth (TTM),-0.0643,-0.2824,Gowth rates,0.22769121813031162
Revenue Growth (MRQ),0.0045000000000000005,0.15560000000000002,Gowth rates,0.02892030848329049
Revenue Growth (TTM),0.11199999999999999,0.1906,Gowth rates,0.5876180482686254
Return On Equity (TTM),0.0818,0.2189,Effectiveness,0.37368661489264504
Return On Assets (TTM),0.0592,0.10740000000000001,Effectiveness,0.5512104283054003
Return On Investment (TTM),0.0805,0.1387,Effectiveness,0.5803893294881038
Revenue Per Employee (TTM),310538.0,667721.0,Effectiveness,0.4650714894394515
Total Debt/Total Capital (MRQ),,0.39659999999999995,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),19.08,0.28,Financial strength,68.14285714285712
