,AMRX
% Above Low,0.2256
% Held by Institutions,0.6607
52-Wk Range,['1.95 - 5.13']
Annual Dividend $,
Annual Dividend %,
Ask,2.6
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.3
Bid,2.1
Bid Size,500.0
Closing Price,2.39
Day Change $,-0.03
Day Change %,-0.0124
Day High,2.42
Day Low,2.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,0.5820000000000001
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,363.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.42
Short Interest,0.0362
Today's Open,2.41
Volume,120137.0
Volume 10-day Avg,710439.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.23529411764705876
Growth 1yr High Est,-0.25555555555555554
Growth 1yr Consensus Est,-0.24542483660130715
Growth 2yr Low Est,-0.07149321266968328
Growth 2yr High Est,-0.015837479270315202
Growth 2yr Consensus Est,-0.04366534596999924
Growth 5yr Low Est,0.16387631975867267
Growth 5yr High Est,0.11764680869158473
Growth 5yr Consensus Est,0.1407615642251287
Growth 5yr Actual/Est,0.2730859010270775
Growth 3yr Historic,0.2873015873015873
Price/Earnings (TTM),
Price/Sales (TTM),0.33915
Price/Book (MRQ),2.4388
Price/Cash Flow (TTM),
5yr Low,1.95
5yr High,24.48
5yr Avg Return,-0.22995000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.2048999
Dividend Growth 5yr,
Short Int Current Month,4306569.0
Short Int Prev Month,4676542.0
Short Int Pct of Float,0.0362271
Days to Cover,3.12868
Float,118.8771
Shares Outstanding,303.5927
Institutions Holding Shares,200.0
FCF Growth 5yr,-1.006870131834859
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3569
Operating Profit Margin (TTM),-0.055999999999999994
Net Profit Margin (TTM),-0.1259
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.9778
EPS Growth (TTM),-10.6135
Revenue Growth (MRQ),-0.024700000000000003
Revenue Growth (TTM),0.0351
Return On Equity (TTM),-0.40750000000000003
Return On Assets (TTM),-0.06860000000000001
Return On Investment (TTM),-0.0842
Revenue Per Employee (TTM),305634.0
Total Debt/Total Capital (MRQ),0.9281999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.07
Interest Coverage (MRQ),0.96
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-08-15 00:00:00
ford since,2022-06-24 00:00:00
cfra since,
theStreet since,2022-08-15 00:00:00
marketEdge opinion since,
