,NGM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.82,Valuation,
Price/Sales (TTM),7.55,18.12,Valuation,0.41666666666666663
Price/Book (MRQ),1.53,11.52,Valuation,0.1328125
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6774,Profitability,
Operating Profit Margin (TTM),-2.6702999999999997,-0.8243,Profitability,3.2394759189615425
Net Profit Margin (TTM),-2.6409,-0.8643000000000001,Profitability,3.055536272127733
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),0.0011,0.0882,Gowth rates,0.012471655328798186
EPS Growth (TTM),-0.201,0.5872999999999999,Gowth rates,-0.34224416822748177
Revenue Growth (MRQ),-0.0461,0.0441,Gowth rates,-1.0453514739229026
Revenue Growth (TTM),-0.24230000000000002,0.17600000000000002,Gowth rates,-1.3767045454545455
Return On Equity (TTM),-0.4796,0.3019,Effectiveness,-1.5886054985094402
Return On Assets (TTM),-0.4083,0.09210000000000002,Effectiveness,-4.433224755700325
Return On Investment (TTM),-0.4756,0.1384,Effectiveness,-3.4364161849710984
Revenue Per Employee (TTM),258271.0,1426391.0,Effectiveness,0.18106606112910134
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.1,Financial strength,
