,NGM
% Above Low,0.8390000000000001
% Held by Institutions,0.7208
52-Wk Range,['2.92 - 19.14']
Annual Dividend $,
Annual Dividend %,
Ask,5.65
Ask Size,100.0
Ask close,6.51
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,3.88
Bid Size,100.0
Bid close,4.14
Change Since Close,-0.13| |(-2.42%)
Closing Price,5.37
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.94
Ex-dividend Date,No dividend
Historical Volatility,1.392
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,5.24
Market Cap,438.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,5.37
Short Interest,0.0352
Today's Open,
Volume,3.0
Volume 10-day Avg,452587.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.3500000000000001
Growth 1yr High Est,0.3642384105960266
Growth 1yr Consensus Est,0.35711920529801333
Growth 2yr Low Est,0.13333333333333336
Growth 2yr High Est,-0.04360895004179255
Growth 2yr Consensus Est,0.044862191645770405
Growth 5yr Low Est,0.15564971751412435
Growth 5yr High Est,0.3370664927210392
Growth 5yr Consensus Est,0.24635810511758177
Growth 5yr Actual/Est,0.24429379954679645
Growth 3yr Historic,0.2011764705882353
Price/Earnings (TTM),
Price/Sales (TTM),7.55226
Price/Book (MRQ),1.53488
Price/Cash Flow (TTM),
5yr Low,2.92
5yr High,32.12
5yr Avg Return,-0.060925000000000014
EPS Growth 5yr,
Revenue Growth 5yr,-0.0186954
Dividend Growth 5yr,
Short Int Current Month,2218494.0
Short Int Prev Month,2157197.0
Short Int Pct of Float,0.0352203
Days to Cover,3.20176
Float,64.61244
Shares Outstanding,81.72611
Institutions Holding Shares,186.0
FCF Growth 5yr,0.4076575329713483
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.6702999999999997
Net Profit Margin (TTM),-2.6409
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0011
EPS Growth (TTM),-0.201
Revenue Growth (MRQ),-0.0461
Revenue Growth (TTM),-0.24230000000000002
Return On Equity (TTM),-0.4796
Return On Assets (TTM),-0.4083
Return On Investment (TTM),-0.4756
Revenue Per Employee (TTM),258271.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-05-05 00:00:00
theStreet since,2020-09-24 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
