,PTGX
% Above Low,0.0608
% Held by Institutions,0.924
52-Wk Range,['6.91 - 37.05']
Annual Dividend $,
Annual Dividend %,
Ask,7.36
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.3
Bid,7.32
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0355
Day High,7.62
Day Low,7.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.67
Ex-dividend Date,No dividend
Historical Volatility,0.976
Last (size),100.0
Last (time),11:49a ET 11/28/22
Market Cap,362.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.6
Price,7.33
Short Interest,0.0378
Today's Open,7.57
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.06506849315068497
Growth 1yr High Est,-0.11023622047244108
Growth 1yr Consensus Est,-0.08765235681156303
Growth 2yr Low Est,0.2861470721059762
Growth 2yr High Est,-0.013082712006131925
Growth 2yr Consensus Est,0.13653218004992212
Growth 5yr Low Est,0.165638084527012
Growth 5yr High Est,-0.0063027713605758595
Growth 5yr Consensus Est,0.07966765658321807
Growth 5yr Actual/Est,0.043539919637681
Growth 3yr Historic,0.011978481976060301
Price/Earnings (TTM),
Price/Sales (TTM),10.62299
Price/Book (MRQ),1.53482
Price/Cash Flow (TTM),
5yr Low,4.47
5yr High,50.54
5yr Avg Return,0.2052833333333333
Short Int Current Month,1820909.0
Short Int Prev Month,1968742.0
Short Int Pct of Float,0.037787299999999996
Days to Cover,2.54364
Float,48.48241
Shares Outstanding,49.19841
Institutions Holding Shares,189.0
FCF Growth 5yr,0.0680794607191142
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-3.7466000000000004
Net Profit Margin (TTM),-3.6964
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2398
EPS Growth (TTM),-0.1066
Revenue Growth (MRQ),-1.0
Revenue Growth (TTM),0.44310000000000005
Return On Equity (TTM),-0.4539
Return On Assets (TTM),-0.3971
Return On Investment (TTM),-0.4491
Revenue Per Employee (TTM),298288.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2018-11-27 00:00:00
theStreet since,2018-11-27 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
