,FHN
Price/Earnings (TTM),16.66678
Price/Sales (TTM),4.32974
Price/Book (MRQ),1.90636
Price/Cash Flow (TTM),13.95239
5yr Low,6.27
5yr High,24.68
5yr Avg Return,0.08813333333333333
EPS Growth 5yr,0.1320626
Revenue Growth 5yr,0.21414149999999998
Dividend Growth 5yr,0.1646586
Short Int Current Month,28453859.0
Short Int Prev Month,29790712.0
Short Int Pct of Float,0.053765900000000005
Days to Cover,6.42082
Float,529.5001
Shares Outstanding,536.8038
Institutions Holding Shares,682.0
% Held by Institutions,0.774178
FCF Growth 5yr,0.5653489137219213
