,FHN
% Below High,0.0004
% Held by Institutions,0.7742
52-Wk Range,['15.00 - 24.78']
Annual Dividend $,0.6
Annual Dividend %,0.0242
Ask,24.82
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.0
Bid,24.76
Bid Size,500.0
Closing Price,24.77
Day Change $,0.1
Day Change %,0.0040999999999999995
Day High,24.78
Day Low,24.63
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",1.49
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.325
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,13.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.67
Prev Close,24.67
Short Interest,0.0538
Today's Open,24.63
Volume,2972732.0
Volume 10-day Avg,4107661.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.05660377358490576
Growth 1yr High Est,0.030674846625766916
Growth 1yr Consensus Est,-0.012964463479569421
Growth 2yr Low Est,0.10503144654088042
Growth 2yr High Est,0.14033742331288346
Growth 2yr Consensus Est,0.12268443492688194
Growth 5yr Low Est,0.05251572327044021
Growth 5yr High Est,0.07016871165644173
Growth 5yr Consensus Est,0.06134221746344097
Growth 5yr Actual/Est,0.11291871828351319
Growth 3yr Historic,0.10791526762788861
Price/Earnings (TTM),16.66678
Price/Sales (TTM),4.32974
Price/Book (MRQ),1.90636
Price/Cash Flow (TTM),13.95239
5yr Low,6.27
5yr High,24.68
5yr Avg Return,0.08813333333333333
EPS Growth 5yr,0.1320626
Revenue Growth 5yr,0.21414149999999998
Dividend Growth 5yr,0.1646586
Short Int Current Month,28453859.0
Short Int Prev Month,29790712.0
Short Int Pct of Float,0.053765900000000005
Days to Cover,6.42082
Float,529.5001
Shares Outstanding,536.8038
Institutions Holding Shares,682.0
FCF Growth 5yr,0.5653489137219213
"Price/Earnings (TTM, GAAP)",16.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3605
Net Profit Margin (TTM),0.2839
Annual Dividend Yield,0.0242
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),0.5462
EPS Growth (TTM),-0.1561
Revenue Growth (MRQ),0.25730000000000003
Revenue Growth (TTM),0.0709
Return On Equity (TTM),0.1129
Return On Assets (TTM),0.0103
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-11-13 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-03-01 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
