,FHN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",16.67,11.29,Valuation,1.476527900797166
Price/Sales (TTM),4.33,3.28,Valuation,1.3201219512195124
Price/Book (MRQ),1.91,1.42,Valuation,1.3450704225352113
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3605,0.3468,Profitability,1.0395040369088813
Net Profit Margin (TTM),0.2839,0.2848,Profitability,0.9968398876404494
Annual Dividend Yield,0.0242,0.028999999999999998,Dividend,0.8344827586206897
Dividend Change %,0.0,-0.0087,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0772,0.0742,Dividend,1.0404312668463611
EPS Growth (MRQ),0.5462,-0.048,Gowth rates,-11.379166666666666
EPS Growth (TTM),-0.1561,-0.10490000000000001,Gowth rates,1.4880838894184936
Revenue Growth (MRQ),0.25730000000000003,0.5294,Gowth rates,0.4860219115980356
Revenue Growth (TTM),0.0709,0.22469999999999998,Gowth rates,0.31553182020471743
Return On Equity (TTM),0.1129,0.1153,Effectiveness,0.9791847354726799
Return On Assets (TTM),0.0103,0.0101,Effectiveness,1.0198019801980198
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002,0.0009,Financial strength,-1.4444444444444446
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
