,ZION
% Above Low,0.0784
% Held by Institutions,0.8401000000000001
52-Wk Range,['46.58 - 75.44']
Annual Dividend $,1.64
Annual Dividend %,0.0317
Ask,50.68
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,50.01
Bid Size,100.0
Closing Price,50.23
Day Change $,-1.52
Day Change %,-0.0294
Day High,51.71
Day Low,50.16
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.379
Last (size),1.0
Last (time),4:00p ET 11/28/22
Market Cap,7.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.79
Prev Close,51.75
Short Interest,0.0229
Today's Open,51.35
Volume,1465427.0
Volume 10-day Avg,1438603.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.19161676646706582
Growth 1yr High Est,-0.16174402250351627
Growth 1yr Consensus Est,-0.17668039448529105
Growth 2yr Low Est,-0.12358616101131076
Growth 2yr High Est,0.03741657935226872
Growth 2yr Consensus Est,-0.04308479082952102
Growth 5yr Low Est,0.09953696875542836
Growth 5yr High Est,0.17545886175851422
Growth 5yr Consensus Est,0.1374979152569713
Growth 5yr Actual/Est,0.2485056417707744
Growth 3yr Historic,0.2435764773306164
Price/Earnings (TTM),9.78505
Price/Sales (TTM),2.56212
Price/Book (MRQ),1.81917
Price/Cash Flow (TTM),
5yr Low,23.58
5yr High,75.44
5yr Avg Return,0.029649999999999996
EPS Growth 5yr,0.2778925
Revenue Growth 5yr,0.0301286
Dividend Growth 5yr,0.38752519999999996
Short Int Current Month,3361055.0
Short Int Prev Month,3469666.0
Short Int Pct of Float,0.022896399999999997
Days to Cover,2.23817
Float,147.1624
Shares Outstanding,149.6178
Institutions Holding Shares,648.0
FCF Growth 5yr,0.5712432563496394
"Price/Earnings (TTM, GAAP)",9.5
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3514
Net Profit Margin (TTM),0.2766
Annual Dividend Yield,0.0326
Dividend Change %,0.0588
"Dividend Growth Rate, 3 Years",0.11460000000000001
EPS Growth (MRQ),0.09050000000000001
EPS Growth (TTM),-0.254
Revenue Growth (MRQ),0.16280000000000003
Revenue Growth (TTM),0.0722
Return On Equity (TTM),0.13820000000000002
Return On Assets (TTM),0.0095
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0275
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2020-11-17 00:00:00
cfra since,2019-07-23 00:00:00
ford since,2022-08-19 00:00:00
marketEdge opinion since,
