,EIGR
% Above Low,0.1558
% Held by Institutions,0.6914
52-Wk Range,['3.53 - 10.02']
Annual Dividend $,
Annual Dividend %,
Ask,5.95
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,4.1
Bid Size,200.0
Closing Price,4.08
Day Change $,-0.03
Day Change %,-0.0073
Day High,4.17
Day Low,3.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.41
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),104.0
Last (time),1:00p ET 11/25/22
Market Cap,179.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.11
Short Interest,0.039900000000000005
Today's Open,4.11
Volume,91010.0
Volume 10-day Avg,235354.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.03614457831325313
Growth 2yr High Est,-0.3853211009174312
Growth 2yr Consensus Est,-0.21073283961534217
Growth 5yr Low Est,-0.03614457831325313
Growth 5yr High Est,-0.3853211009174312
Growth 5yr Consensus Est,-0.21073283961534217
Growth 5yr Actual/Est,0.07724684735554296
Growth 3yr Historic,-0.20427489177489178
Price/Earnings (TTM),
Price/Sales (TTM),12.71014
Price/Book (MRQ),2.29499
Price/Cash Flow (TTM),
5yr Low,3.53
5yr High,18.0
5yr Avg Return,-0.09158333333333331
Short Int Current Month,1666683.0
Short Int Prev Month,1824954.0
Short Int Pct of Float,0.0399254
Days to Cover,3.80329
Float,41.76171
Shares Outstanding,44.07428
Institutions Holding Shares,133.0
FCF Growth 5yr,0.31677557844630394
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8872
Operating Profit Margin (TTM),-6.3813
Net Profit Margin (TTM),-6.6021
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2121
EPS Growth (TTM),-1.5577
Revenue Growth (MRQ),-0.016399999999999998
Revenue Growth (TTM),0.611
Return On Equity (TTM),-1.1135
Return On Assets (TTM),-0.6577
Return On Investment (TTM),-0.7919
Revenue Per Employee (TTM),524000.0
Total Debt/Total Capital (MRQ),0.3343
Change in Debt/Total Capital Quarter over Quarter,0.0021
Quick Ratio (MRQ),5.34
Interest Coverage (MRQ),-35.39
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
theStreet since,2022-06-13 00:00:00
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
