,EIGR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),12.71,45.03,Valuation,0.28225627359538086
Price/Book (MRQ),2.29,12.61,Valuation,0.1816019032513878
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.8872,0.5874,Profitability,1.5103847463398024
Operating Profit Margin (TTM),-6.3813,-4.7459,Profitability,1.344592174297815
Net Profit Margin (TTM),-6.6021,-4.5467,Profitability,1.4520641344271668
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.2121,-0.0014000000000000002,Gowth rates,151.49999999999997
EPS Growth (TTM),-1.5577,0.027200000000000002,Gowth rates,-57.268382352941174
Revenue Growth (MRQ),-0.016399999999999998,1.3963999999999999,Gowth rates,-0.011744485820681752
Revenue Growth (TTM),0.611,0.9747,Gowth rates,0.6268595465271365
Return On Equity (TTM),-1.1135,0.1967,Effectiveness,-5.660904931367564
Return On Assets (TTM),-0.6577,0.0016,Effectiveness,-411.06249999999994
Return On Investment (TTM),-0.7919,0.0219,Effectiveness,-36.15981735159818
Revenue Per Employee (TTM),524000.0,1476201.0,Effectiveness,0.35496521137704146
Total Debt/Total Capital (MRQ),0.3343,0.4675,Financial strength,0.7150802139037432
Change in Debt/Total Capital Quarter over Quarter,0.0021,0.0036,Financial strength,0.5833333333333333
Quick Ratio (MRQ),5.34,2.06,Financial strength,2.5922330097087376
Interest Coverage (MRQ),-35.39,2.69,Financial strength,-13.156133828996284
