,VCTR
% Above Low,0.2601
% Held by Institutions,0.8348
52-Wk Range,['22.22 - 37.35']
Annual Dividend $,1.17
Annual Dividend %,0.0405
Ask,28.56
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,1.2
Bid,27.96
Bid Size,700.0
Closing Price,28.0
Day Change $,-0.87
Day Change %,-0.0301
Day High,28.98
Day Low,27.86
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",4.01
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.41500000000000004
Last (size),701.0
Last (time),3:59p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.2
Prev Close,28.87
Short Interest,0.056600000000000004
Today's Open,28.67
Volume,495787.0
Volume 10-day Avg,289727.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.05063291139240511
Growth 1yr High Est,-0.028925619834710647
Growth 1yr Consensus Est,-0.03977926561355788
Growth 2yr Low Est,-0.0630942334739803
Growth 2yr High Est,0.017452083699665943
Growth 2yr Consensus Est,-0.022821074887157178
Growth 5yr Low Est,0.15500624294680435
Growth 5yr High Est,0.19096323253253863
Growth 5yr Consensus Est,0.1729847377396715
Growth 5yr Actual/Est,0.1531481700118823
Growth 3yr Historic,0.17924023147738777
Price/Earnings (TTM),7.20313
Price/Sales (TTM),2.24146
Price/Book (MRQ),1.85291
Price/Cash Flow (TTM),5.9859
5yr Low,7.27
5yr High,43.09
5yr Avg Return,0.26391999999999993
EPS Growth 5yr,
Revenue Growth 5yr,0.2447861
Dividend Growth 5yr,
Short Int Current Month,1427615.0
Short Int Prev Month,1510847.0
Short Int Pct of Float,0.056605100000000005
Days to Cover,5.65311
Float,62.02387
Shares Outstanding,68.50983
Institutions Holding Shares,186.0
FCF Growth 5yr,0.34877764440816045
"Price/Earnings (TTM, GAAP)",7.2
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8089000000000001
Operating Profit Margin (TTM),0.4606
Net Profit Margin (TTM),0.332
Annual Dividend Yield,0.0405
Dividend Change %,1.3043
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0687
EPS Growth (TTM),0.126
Revenue Growth (MRQ),-0.0405
Revenue Growth (TTM),0.0242
Return On Equity (TTM),0.3029
Return On Assets (TTM),0.1338
Return On Investment (TTM),0.1539
Revenue Per Employee (TTM),1819396.0
Total Debt/Total Capital (MRQ),0.48380000000000006
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.9
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-25 00:00:00
theStreet since,2021-02-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
